WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
5,1,0,3,11,0,0,3,4,0.25,62,1,0,0,0.45,0,0,11,1,3,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.6667,0,0,0,3,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,11,1,NotFaulty
2,1,0,1,5,1,0,1,2,2,9,0,0,0,0.75,0,0,3.5,6,1,NotFaulty
3,1,0,2,12,3,0,2,2,1.5,40,1,0,0,0.5556,0,0,11.6667,5,1,NotFaulty
7,1,0,1,16,0,0,1,6,0.1667,56,1,0,0,0.7857,0,0,6.8571,3,2,Faulty
5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.8,0,0,0,5,1,NotFaulty
6,1,0,1,16,0,0,1,6,0.4,67,1,0,0,0.4583,0,0,9.8333,6,3,NotFaulty
6,1,0,1,21,0,0,1,6,0.3333,94,1,0,0,0.4583,0,0,14.1667,7,3,NotFaulty
6,1,0,16,18,15,0,16,6,2,69,0,0,0,0.2,0,0,10.5,9,3,Faulty
4,1,0,8,14,0,0,8,2,0.75,101,1,0,0,0.4375,0,0,22.25,15,4,Faulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Faulty
21,1,0,6,33,118,0,6,12,0.85,176,1,0,0,0.1905,0,0,6.9524,4,1,Faulty
24,1,0,5,37,204,0,5,1,0.8551,158,1,0,0,0.2708,0,0,5.2083,4,2,Faulty
7,1,0,11,23,7,0,11,2,0.6667,376,1,0,0,0.4127,0,0,51.8571,20,13,Faulty
27,1,0,24,95,243,0,24,19,0.8489,636,0.9286,1,0,0.2564,0,0,22.037,7,14,Faulty
2,1,0,2,6,0,0,2,1,0.5,25,0,0,0,0.625,0,0,10.5,106,1,Faulty
34,1,0,12,43,419,0,12,18,0.9434,426,0.9,0,0,0.131,0,0,10.6471,7,6,NotFaulty
3,1,0,9,21,3,0,9,1,0.5,94,0,0,0,0.5,0,0,25.3333,89,1,Faulty
1,1,0,6,4,0,0,6,1,2,36,0,0,0,1,0,0,28,270,1,NotFaulty
2,1,0,2,5,0,0,2,1,0,14,0,0,0,0.75,0,0,5.5,136,1,Faulty
2,1,0,3,5,0,0,3,1,0,20,0,0,0,0.6667,0,0,8,137,1,Faulty
10,1,0,23,61,0,0,23,2,0.8756,709,1,0,0,0.2125,0,0,67.4,32,20,Faulty
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,82,1,NotFaulty
2,3,0,0,5,1,0,0,2,2,38,0,0,0.9474,0.6667,1,1,18,166,4,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.5,0,0,0,84,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.9524,89,0.1429,7,0.8667,0.4444,1,1,19.5,85,1,NotFaulty
4,1,0,0,7,0,0,0,4,0.6667,39,1,0,0,0.625,0,0,8,86,1,NotFaulty
3,1,0,0,7,3,0,0,2,2,31,0,0,0,0.5556,0,0,9.3333,116,1,NotFaulty
