WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
17,2,0,2,64,76,0,2,9,0.8792,713,0.6,0,0.8272,0.3393,1,3,40.0588,3,10,Faulty
11,2,0,3,15,13,0,3,11,0.75,97,1,0,0.2,0.2208,0,0,7.2727,5,1,NotFaulty
14,4,0,1,28,0,0,1,14,0.3846,153,1,0,0.7586,0.3333,1,2,9.7857,5,2,NotFaulty
7,1,0,1,7,21,0,1,7,2,7,0,0,0,1,0,0,0,12,1,NotFaulty
4,1,0,1,4,6,0,1,4,2,4,0,0,0,0.5,0,0,0,23,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
14,1,0,4,32,49,0,4,12,0.8352,257,1,0,0,0.3077,0,0,16.8571,8,6,Faulty
2,1,0,0,6,1,0,0,2,2,45,0,0,0,0.6667,0,0,21.5,63,8,NotFaulty
23,1,0,2,51,181,0,2,14,0.7314,1407,1,0,0,0.2909,0,0,59.6957,11,35,NotFaulty
13,1,0,0,13,78,0,0,13,2,13,0,0,0,0.3269,0,0,0,21,1,NotFaulty
2,1,0,2,4,0,0,2,1,0.5,20,1,0,0,0.625,0,0,8,139,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,28,1,0,0,0.5833,0,0,12,140,1,Faulty
2,1,0,3,6,0,0,3,1,0.5,29,1,0,0,0.5833,0,0,12.5,141,1,Faulty
2,1,0,4,6,0,0,4,1,0.5,33,1,0,0,0.5833,0,0,14.5,142,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,27,1,0,0,0.5833,0,0,11.5,143,1,Faulty
2,1,0,4,5,0,0,4,1,0.5,29,1,0,0,0.5833,0,0,12.5,144,1,Faulty
2,1,0,5,7,0,0,5,1,0.3333,44,1,0,0,0.5714,0,0,19.5,145,1,Faulty
2,1,0,4,6,0,0,4,1,0.3333,44,1,0,0,0.5714,0,0,19.5,146,1,Faulty
2,1,0,2,5,0,0,2,1,0.3333,36,1,0,0,0.6,0,0,15.5,147,1,Faulty
2,1,0,3,4,0,0,3,1,0.5,25,1,0,0,0.5833,0,0,10.5,148,1,Faulty
2,1,0,3,6,0,0,3,1,0.5,30,1,0,0,0.5833,0,0,13,149,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,28,1,0,0,0.5833,0,0,12,150,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,28,1,0,0,0.5833,0,0,12,151,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,28,1,0,0,0.5833,0,0,12,152,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,28,1,0,0,0.5833,0,0,12,153,1,Faulty
2,1,0,3,5,0,0,3,1,0.5,28,1,0,0,0.5833,0,0,12,154,1,Faulty
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,309,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,310,1,NotFaulty
14,1,0,20,63,63,0,20,9,0.8413,822,0.4375,0,0,0.3333,0,0,56.5714,27,32,Faulty
5,1,0,0,10,8,0,0,3,0.3125,69,0.75,1,0,0.5833,0,0,12,79,3,NotFaulty
14,1,0,7,82,65,0,7,1,0.8166,1253,0.8462,0,0,0.1696,0,0,87.5714,33,29,Faulty
4,2,0,3,16,0,0,3,4,0.3333,59,1,0,0.8636,0.875,1,1,13.5,118,5,NotFaulty
3,1,0,0,15,0,0,0,3,0.1667,100,1,0,0,0.6667,0,0,31.3333,161,8,NotFaulty
