WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,1,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.9333,67,0.2,5,0.8667,0.4444,1,1,14.5,2,1,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.5,0,0,0,3,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,7,1,NotFaulty
7,1,0,0,7,21,0,0,7,2,7,0,0,0,0.9286,0,0,0,3,1,NotFaulty
2,1,0,0,3,1,0,0,2,0,23,0,0,0,0.6667,0,0,9,11,1,NotFaulty
4,2,0,1,7,0,0,1,4,0.3333,38,0.6667,0,0.8125,0.5833,1,5,7.75,6,1,NotFaulty
47,1,0,9,101,761,0,9,12,0.8527,1475,1,0,0,0.1826,0,0,30,2,9,NotFaulty
3,1,0,0,6,3,0,0,3,2,22,0,0,0,0.5556,0,0,6.3333,45,2,NotFaulty
3,1,0,0,12,3,0,0,3,2,109,0,0,0,0.5,0,0,35.3333,50,13,NotFaulty
7,1,0,4,9,13,0,4,7,0.5,70,1,0,0,0.3571,0,0,8.4286,23,3,NotFaulty
21,1,0,2,31,72,0,2,21,0.7,308,0.8889,0,0,0.381,0,0,13.2381,9,5,NotFaulty
42,1,0,14,89,481,0,14,35,0.9408,1167,0.1429,0,0,0.1685,0,0,26.619,7,14,NotFaulty
28,1,0,0,42,106,0,0,24,0.8056,605,1,0,0,0.2092,0,0,20.4643,12,11,NotFaulty
32,1,0,4,54,112,0,4,28,0.5935,564,1,0,0,0.2708,0,0,16.4688,13,9,NotFaulty
6,1,0,1,6,15,0,1,6,1.2,7,0,0,0,0.8333,0,0,0,72,1,NotFaulty
1,1,0,0,2,0,0,0,1,2,7,0,0,0,1,0,0,3,435,1,NotFaulty
23,1,0,2,38,79,0,2,23,0.7677,324,1,0,0,0.3304,0,0,12.6957,20,5,NotFaulty
8,1,0,5,16,28,0,5,6,0.9857,320,0.9,0,0,0.35,0,0,37.75,61,11,NotFaulty
10,1,0,0,10,45,0,0,10,2,10,0,0,0,0.7,0,0,0,50,1,NotFaulty
4,3,0,10,22,0,0,10,3,0.625,248,0,0,0.9167,0.75,0,0,59,130,12,NotFaulty
2,1,0,2,4,0,0,2,2,0.5333,164,0,0,0,0.75,0,0,73.5,262,3,NotFaulty
5,1,0,0,6,10,0,0,5,2,16,0,0,0,1,0,0,2.2,105,1,NotFaulty
15,1,0,2,16,105,0,2,14,1.0571,36,0,2,0,0.375,0,0,0.7333,36,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,273,1,NotFaulty
6,1,0,3,6,15,0,3,6,2,6,0,0,0,0.5556,0,0,0,92,1,NotFaulty
8,1,0,0,19,0,0,0,8,0,133,0,0,0,0.8125,0,0,15.5,70,3,NotFaulty
10,1,0,0,22,11,0,0,10,0.2593,167,1,0,0,0.4,0,0,15.4,58,4,NotFaulty
7,1,0,0,9,0,0,0,7,0.6111,103,0.3333,0,0,0.7143,0,0,13.2857,84,4,NotFaulty
31,1,0,2,58,375,0,2,30,0.5667,692,1,0,0,0.329,0,0,21.2903,21,10,NotFaulty
24,1,0,6,50,274,0,6,24,0.9783,310,1,0,0,0.3512,0,0,11.8333,29,5,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.6667,0,0,0,356,1,NotFaulty
2,4,0,0,3,0,0,0,2,0,17,0,0,0.9565,0.75,1,1,7,357,2,NotFaulty
12,1,0,3,19,24,0,3,9,0.5606,224,1,0,0,0.3833,0,0,17.1667,61,5,NotFaulty
27,1,0,2,28,351,0,2,26,1,34,0,1,0,0.375,0,0,0.2222,28,1,NotFaulty
31,1,0,3,31,465,0,3,31,2,31,0,0,0,0.3502,0,0,0,25,1,NotFaulty
6,1,0,3,19,3,0,3,6,0.4,251,0.625,0,0,0.5,0,0,39.5,137,10,NotFaulty
9,1,0,3,9,36,0,3,9,2,9,0,0,0,0.4167,0,0,0,92,1,NotFaulty
3,1,0,0,9,0,0,0,2,0.9286,255,0.2857,0,0,0.6667,0,0,79.3333,287,27,NotFaulty
4,1,0,7,16,0,0,7,4,0,273,1,0,0,0.4375,0,0,66.25,222,14,NotFaulty
3,1,0,3,6,0,0,3,2,0,26,0,0,0,0.6667,0,0,7.3333,298,1,NotFaulty
2,1,0,3,4,0,0,3,1,0,13,0,0,0,0.75,0,0,5,448,1,NotFaulty
2,1,0,3,4,0,0,3,1,0,13,0,0,0,0.75,0,0,5,449,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,899,1,NotFaulty
3,1,0,3,11,1,0,3,3,0,75,1,0,0,0.5,0,0,23.6667,302,7,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,455,1,NotFaulty
2,1,0,3,5,0,0,3,1,0,31,0,0,0,0.5714,0,0,13,456,2,NotFaulty
2,1,0,3,6,0,0,3,1,0,42,0,0,0,0.6429,0,0,18,458,2,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,917,1,NotFaulty
3,1,0,1,4,3,0,1,3,2,10,0,0,0,0.5833,0,0,2.3333,306,1,NotFaulty
22,1,0,11,50,171,0,11,18,0.619,538,1,0,0,0.3131,0,0,23.3636,44,12,NotFaulty
2,1,0,1,3,1,0,1,2,0,28,0,0,0,0.8333,0,0,11,489,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,245,1,NotFaulty
37,1,0,48,174,434,0,48,32,0.8981,1965,0.0909,0,0,0.1644,0,0,51.2162,30,22,NotFaulty
5,1,0,20,40,0,0,20,3,0.25,262,0,0,0,0.4,0,0,51.2,227,6,NotFaulty
4,1,0,11,22,0,0,11,3,0.3333,238,0,0,0,0.4167,0,0,57.5,288,8,NotFaulty
2,1,0,1,3,1,0,1,2,0.5714,35,0,0,0,0.875,0,0,13,578,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,290,1,NotFaulty
5,1,0,39,71,2,0,39,5,0.625,501,0,0,0,0.4286,0,0,98.4,236,9,NotFaulty
2,1,0,1,7,0,0,1,2,0,30,0,0,0,0.75,0,0,13,591,1,NotFaulty
26,1,0,8,26,325,0,8,26,2,26,0,0,0,0.2063,0,0,0,46,1,NotFaulty
4,1,0,15,37,6,0,15,1,2,275,0,0,0,0.5,0,0,67.75,308,20,NotFaulty
3,1,0,20,28,0,0,20,2,0.625,430,0,0,0,0.6667,0,0,141,420,16,NotFaulty
9,1,0,23,54,22,0,23,8,0.4375,1076,0,0,0,0.4,0,0,118.1111,147,36,Faulty
4,1,0,2,10,6,0,2,4,2,51,0,0,0,0.6667,0,0,11.75,332,3,NotFaulty
41,1,0,55,125,478,0,55,36,0.68,1443,0.2,0,0,0.1357,0,0,34.0732,34,11,NotFaulty
1,1,0,1,3,0,0,1,0,2,42,0,0,0,0,0,0,40,1424,1,NotFaulty
17,1,0,35,72,0,0,35,13,0.5625,976,0,0,0,0.375,0,0,55.8824,85,7,NotFaulty
25,1,0,15,26,300,0,15,25,2,80,0,0,0,0.168,0,0,2.2,59,1,NotFaulty
6,1,0,6,9,13,0,6,4,0,45,0,0,0,0.6667,0,0,6.3333,248,1,NotFaulty
29,1,0,20,83,66,0,20,24,0.746,701,0,0,0,0.25,0,0,22.8621,53,5,NotFaulty
20,1,0,10,21,190,0,10,20,1,65,0,0,0,0.1654,0,0,2.2,77,1,NotFaulty
3,1,0,13,31,0,0,13,2,0,146,0,0,0,0.5,0,0,47.3333,523,7,NotFaulty
45,1,0,51,134,0,0,51,45,0.85,1223,0,0,0,0.086,0,0,25.9556,36,7,Faulty
35,1,0,20,35,595,0,20,35,2,35,0,0,0,0.1321,0,0,0,48,1,NotFaulty
2,1,0,8,30,0,0,8,2,0,329,0,0,0,0.625,0,0,162.5,852,17,NotFaulty
26,1,0,10,71,173,0,10,22,0.81,958,0.25,0,0,0.1967,0,0,35.6923,68,15,Faulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1789,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
3,1,0,2,4,3,0,2,3,0.5,22,0,0,0,0.6667,0,0,5.6667,597,1,NotFaulty
1,1,0,0,3,0,0,0,1,2,11,0,0,0,1,0,0,8,1793,1,NotFaulty
7,1,0,0,25,17,0,0,6,0.6667,317,0,0,0,0.3333,0,0,44,260,9,NotFaulty
3,3,0,1,7,3,0,1,3,2,43,0,0,0.9701,0.8333,0,0,13.3333,609,2,NotFaulty
3,1,0,0,8,1,0,0,3,0.75,34,0,0,0,0.5556,0,0,9.6667,611,3,NotFaulty
5,1,0,2,23,4,0,2,4,0.25,128,1,0,0,0.4,0,0,24.4,369,4,NotFaulty
8,2,0,0,11,0,0,0,8,0,45,0,0,0.4615,0.3438,1,2,4.5,231,1,NotFaulty
6,4,0,0,15,0,0,0,6,0.2,47,1,0,0.9451,0.5556,2,2,6.6667,309,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1860,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1861,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1862,1,NotFaulty
15,1,0,4,50,105,0,4,14,1.0357,345,0,0,0,0.1587,0,0,21.8667,126,3,NotFaulty
7,1,0,1,7,21,0,1,7,2,7,0,0,0,0.9524,0,0,0,272,1,NotFaulty
1,4,0,0,2,0,0,0,1,2,4,0,0,1,1,0,0,3,1906,1,NotFaulty
7,1,0,9,45,19,0,9,6,0.6667,659,0,0,0,0.3333,0,0,93,282,31,NotFaulty
3,1,0,3,27,0,0,3,3,0,224,1,0,0,0.5556,0,0,73,660,4,NotFaulty
4,1,0,5,4,6,0,5,4,2,4,0,0,0,0.55,0,0,0,496,1,NotFaulty
8,1,0,4,8,28,0,4,8,2,8,0,0,0,0.5625,0,0,0,249,1,NotFaulty
23,1,0,2,35,133,0,2,22,0.7792,333,0.4286,0,0,0.2727,0,0,13.1739,88,6,NotFaulty
5,1,0,6,6,10,0,6,5,2,12,0,0,0,0.46,0,0,1.4,408,1,NotFaulty
38,1,0,6,68,355,0,6,28,0.6,800,0.8,0,0,0.2432,0,0,19.9211,56,10,NotFaulty
1,1,0,2,1,0,0,2,1,2,3,0,0,0,1,0,0,0,2137,1,NotFaulty
23,1,0,6,45,79,0,6,23,0.7626,352,1,0,0,0.3217,0,0,13.913,94,5,NotFaulty
7,1,0,6,13,19,0,6,6,0.6667,84,0.5,0,0,0.5667,0,0,10.7143,311,4,NotFaulty
