WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
17,1,0,7,17,136,0,7,17,2,17,0,0,0,0.2222,0,0,0,1,1,Faulty
4,3,0,0,8,6,0,0,4,2,20,0,0,1,0.6667,0,0,4,5,1,NotFaulty
2,1,0,4,5,0,0,4,1,0.5,21,0,0,0,0.625,0,0,8.5,11,1,NotFaulty
2,1,0,4,5,0,0,4,1,0.5,21,0,0,0,0.625,0,0,8.5,12,1,NotFaulty
2,1,0,4,6,0,0,4,1,0.25,35,0,0,0,0.6,0,0,14.5,13,1,NotFaulty
2,1,0,4,12,0,0,4,1,0.3333,45,0,0,0,0.6,0,0,20,15,2,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,0.5556,0,0,0,11,1,NotFaulty
0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
9,1,0,6,9,36,0,6,9,2,9,0,0,0,0.4444,0,0,0,4,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,22,1,NotFaulty
15,1,0,2,15,105,0,2,15,2,15,0,0,0,0.2286,0,0,0,3,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,60,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,61,1,NotFaulty
13,1,0,1,13,78,0,1,13,2,13,0,0,0,0.3692,0,0,0,5,1,Faulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,38,1,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,0.6667,0,0,0,26,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.8333,0,0,0,40,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,82,1,Faulty
3,1,0,4,3,3,0,4,3,2,3,0,0,0,0.6667,0,0,0,28,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,86,1,NotFaulty
8,1,0,1,12,14,0,1,7,0.7143,56,1,0,0,0.5,0,0,5.625,11,1,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,24,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,50,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,101,1,NotFaulty
11,1,0,12,24,39,0,12,11,0.8,101,1,0,0,0.2727,0,0,7.8182,10,2,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,29,1,NotFaulty
10,1,0,7,18,9,0,7,10,0.6667,86,1,0,0,0.2857,0,0,7.3,13,3,NotFaulty
4,1,0,0,11,0,0,0,4,0.3333,31,1,0,0,0.625,0,0,6.5,33,1,NotFaulty
2,1,0,5,17,0,0,5,1,0,79,0,0,0,0.625,0,0,37.5,68,2,NotFaulty
2,1,0,6,14,0,0,6,1,0,57,0,0,0,0.625,0,0,26.5,70,2,NotFaulty
10,1,0,9,20,23,0,9,3,0.7778,107,1,0,0,0.3519,0,0,9.3,15,5,NotFaulty
14,1,0,5,18,61,0,5,14,0.8308,81,1,0,0,0.2976,0,0,4.4286,12,1,NotFaulty
9,1,0,3,16,36,0,3,9,2,69,0,0,0,0.1944,0,0,6.6667,19,1,NotFaulty
27,1,0,13,47,323,0,13,24,0.8462,224,1,0,0,0.142,0,0,7.1852,7,3,NotFaulty
2,1,0,2,3,0,0,2,2,0,12,1,0,0,0.75,0,0,4.5,106,1,NotFaulty
2,1,0,3,4,0,0,3,1,0,13,0,0,0,0.75,0,0,5,107,1,NotFaulty
28,1,0,14,48,330,0,14,28,0.7716,235,1,0,0,0.1173,0,0,7.1786,8,2,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,124,1,NotFaulty
3,1,0,3,10,0,0,3,2,0,37,0,0,0,0.5556,0,0,11,84,2,NotFaulty
3,1,0,3,14,0,0,3,2,0,62,0,0,0,0.5,0,0,19,85,3,NotFaulty
3,1,0,3,12,0,0,3,2,0,47,0,0,0,0.5,0,0,14,87,2,NotFaulty
3,1,0,3,12,0,0,3,2,0.1667,53,0,0,0,0.4667,0,0,15.6667,88,2,NotFaulty
3,1,0,3,12,0,0,3,2,0.1667,59,0,0,0,0.5,0,0,17.6667,90,3,NotFaulty
3,1,0,3,9,0,0,3,2,0,46,0,0,0,0.5556,0,0,13.6667,91,1,NotFaulty
2,1,0,2,4,0,0,2,1,0,19,0,0,0,0.6667,0,0,7.5,137,1,NotFaulty
3,1,0,2,8,0,0,2,2,0,27,0,0,0,0.5556,0,0,7.6667,92,1,NotFaulty
3,1,0,2,8,0,0,2,2,0,23,0,0,0,0.5556,0,0,6.3333,93,1,NotFaulty
3,1,0,3,6,3,0,3,2,2,12,0,0,0,0.6667,0,0,3,94,1,NotFaulty
3,1,0,3,10,0,0,3,2,0,29,0,0,0,0.5556,0,0,8.3333,95,1,NotFaulty
3,1,0,3,6,3,0,3,2,2,12,0,0,0,0.6667,0,0,3,96,1,NotFaulty
3,1,0,2,4,3,0,2,2,2,10,0,0,0,0.6667,0,0,2.3333,97,1,NotFaulty
3,1,0,3,5,3,0,3,2,2,11,0,0,0,0.6667,0,0,2.6667,98,1,NotFaulty
3,1,0,4,12,0,0,4,2,0,44,0,0,0,0.5,0,0,13,99,1,NotFaulty
18,1,0,19,39,153,0,19,18,2,126,0,0,0,0.1852,0,0,6,17,1,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,106,1,NotFaulty
4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,81,1,NotFaulty
4,1,0,5,14,0,0,5,4,0.5556,85,1,0,0,0.5,0,0,19.5,83,7,NotFaulty
9,1,0,6,12,0,0,6,9,0.25,87,1,0,0,0.4167,0,0,8.4444,38,1,NotFaulty
3,1,0,2,4,3,0,2,3,2,10,0,0,0,0.6667,0,0,2.3333,115,1,NotFaulty
4,1,0,5,15,0,0,5,4,0.5556,68,1,0,0,0.5,0,0,15.25,88,3,NotFaulty
15,1,0,15,30,105,0,15,15,2,123,0,0,0,0.2,0,0,7.2,24,1,Faulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,368,1,NotFaulty
3,1,0,4,11,0,0,4,2,0,32,0,0,0,0.5556,0,0,9.3333,123,1,NotFaulty
3,1,0,4,11,0,0,4,2,0,32,0,0,0,0.5556,0,0,9.3333,124,1,NotFaulty
3,1,0,4,11,0,0,4,2,0,43,0,0,0,0.5,0,0,12.6667,125,1,NotFaulty
3,1,0,4,11,0,0,4,2,0,43,0,0,0,0.5,0,0,12.6667,126,1,NotFaulty
3,1,0,3,10,0,0,3,2,0,42,0,0,0,0.5,0,0,12.3333,127,1,NotFaulty
