WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
2,1,0,6,8,0,0,6,1,0,39,0,0,0,0.6667,0,0,17.5,1,2,NotFaulty
2,1,0,5,8,0,0,5,1,0,39,0,0,0,0.6667,0,0,17.5,3,2,NotFaulty
12,1,0,12,57,22,0,12,12,0.7273,348,0,0,0,0.2639,0,0,27.4167,2,11,NotFaulty
2,1,0,2,8,0,0,2,1,0,30,0,0,0,0.75,0,0,13.5,18,2,Faulty
2,1,0,9,17,0,0,9,1,0,72,0,0,0,0.625,0,0,34,20,3,Faulty
2,1,0,4,4,0,0,4,1,0,20,0,0,0,0.6667,0,0,8,21,1,NotFaulty
2,1,0,6,19,0,0,6,1,0,94,0,0,0,0.6667,0,0,45,23,3,Faulty
2,1,0,2,8,0,0,2,1,0,21,0,0,0,0.75,0,0,9,24,1,Faulty
2,1,0,5,6,0,0,5,1,0,25,0,0,0,0.6667,0,0,10.5,25,2,Faulty
2,1,0,1,4,0,0,1,1,0,13,0,0,0,0.75,0,0,5,26,1,Faulty
2,1,0,3,4,0,0,3,1,0,14,0,0,0,0.6667,0,0,5.5,27,1,Faulty
2,1,0,3,4,0,0,3,1,0,15,0,0,0,0.6667,0,0,6,28,1,Faulty
2,1,0,6,10,0,0,6,1,0,26,0,0,0,0.6667,0,0,11.5,29,1,Faulty
2,1,0,10,13,0,0,10,1,0,65,0,0,0,0.625,0,0,30.5,32,4,Faulty
2,1,0,8,9,0,0,8,1,0,36,0,0,0,0.625,0,0,16,33,1,Faulty
2,1,0,8,9,0,0,8,1,0,36,0,0,0,0.625,0,0,16,34,1,Faulty
2,1,0,9,16,0,0,9,1,0,67,0,0,0,0.625,0,0,31.5,35,2,Faulty
2,1,0,4,6,0,0,4,1,0,27,0,0,0,0.75,0,0,12,36,1,NotFaulty
2,1,0,2,5,0,0,2,1,0.3333,24,0,0,0,0.625,0,0,9.5,37,1,Faulty
2,1,0,2,5,0,0,2,1,0.3333,24,0,0,0,0.625,0,0,9.5,38,1,Faulty
2,1,0,3,7,0,0,3,1,0,26,0,0,0,0.6667,0,0,11,39,1,Faulty
2,1,0,3,5,0,0,3,1,0,15,0,0,0,0.75,0,0,6,40,1,Faulty
22,1,0,27,88,39,0,27,13,0.7798,779,1,0,0,0.1591,0,0,33.6818,5,7,Faulty
9,1,0,3,29,0,0,3,9,0.375,175,0,0,0,0.254,1,1,18.1111,16,7,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,76,1,NotFaulty
1,1,0,4,1,0,0,4,1,2,1,0,0,0,1,0,0,0,153,1,NotFaulty
6,1,0,1,13,9,0,1,4,0.2667,84,0.6667,0,0,0.5833,0,0,12.5,27,4,NotFaulty
8,1,0,1,12,22,0,1,5,0.5714,54,1,0,0,0.35,0,0,5.375,21,1,NotFaulty
11,1,0,0,31,55,0,0,3,2,196,0,0,0,0.3818,0,0,16.8182,18,4,NotFaulty
18,1,0,1,28,15,0,1,18,0.7059,226,1,0,0,0.3,0,0,11.1667,12,2,NotFaulty
16,1,0,0,22,80,0,0,16,0.8762,118,1,0,0,0.4792,0,0,5.9375,14,1,NotFaulty
93,1,0,22,208,3564,0,22,89,0.952,2125,0.9655,0,0,0.0584,0,0,21.5376,4,28,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,419,1,NotFaulty
6,1,0,2,18,15,0,2,3,2,85,0,0,0,0.5,0,0,13.1667,72,4,NotFaulty
5,1,0,37,184,8,0,37,3,0.25,1759,0.5,0,0,0.3143,0,0,350.4,99,57,NotFaulty
8,1,0,1,10,0,0,1,8,0.5714,63,1,0,0,0.375,0,0,6.5,63,1,NotFaulty
