WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,1,1,NotFaulty
2,2,0,1,4,0,0,1,1,0,13,1,0,0.9091,0.6667,0,0,5,2,1,NotFaulty
1,5,0,4,23,0,0,4,1,2,177,0,0,1,1,0,0,176,5,1,NotFaulty
5,3,0,0,23,8,0,0,4,0.75,124,0.75,0,0.9886,0.5333,2,4,23,2,2,NotFaulty
11,3,0,0,22,23,0,0,9,0.525,240,0,0,0.972,0.4318,2,5,20.4545,2,3,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,15,1,NotFaulty
2,2,0,5,18,0,0,5,1,0,91,1,0,0.9846,0.6667,0,0,43.5,16,2,NotFaulty
2,1,0,1,4,1,0,1,1,1,12,1,0,0,0.6667,0,0,4.5,17,1,NotFaulty
2,2,0,1,5,0,0,1,1,0.5,19,1,0,0.9091,0.625,0,0,7.5,18,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,19,1,NotFaulty
2,1,0,1,7,0,0,1,1,0,28,1,0,0,0.6667,0,0,12.5,21,2,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,22,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,23,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,24,1,NotFaulty
2,1,0,1,4,1,0,1,1,1,12,1,0,0,0.6667,0,0,4.5,25,1,NotFaulty
2,2,0,3,5,0,0,3,1,0,33,1,0,0.9846,0.625,0,0,14,26,1,NotFaulty
2,1,0,3,6,0,0,3,1,0,25,1,0,0,0.6667,0,0,10.5,27,1,NotFaulty
39,1,0,2,60,741,0,2,37,2,419,0,0,0,0.1305,0,0,9.7436,2,5,NotFaulty
2,3,0,0,4,1,0,0,2,2,10,1,0,1,0.75,0,0,3.5,58,1,NotFaulty
8,1,0,1,19,0,0,1,2,0.6786,274,1,0,0,0.5,0,0,32.25,17,4,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,138,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,70,1,NotFaulty
7,1,0,2,17,11,0,2,7,0.4167,74,1,0,0,0.4286,0,0,9.2857,21,1,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.625,0,0,0,37,1,NotFaulty
2,1,0,3,4,0,0,3,1,0.5,17,1,0,0,0.6667,0,0,6.5,76,1,NotFaulty
18,1,0,7,35,105,0,7,16,0.7176,229,1,0,0,0.2302,0,0,11.4444,9,3,NotFaulty
25,1,0,4,67,238,0,4,20,0.6667,514,0.5,0,0,0.18,0,0,19.4,8,6,NotFaulty
34,1,0,7,85,545,0,7,22,0.9091,580,0.2,0,0,0.1364,0,0,15.9118,8,6,NotFaulty
9,1,0,1,38,34,0,1,3,0.75,174,0,0,0,0.4,0,0,18.2222,33,5,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,102,1,NotFaulty
4,1,0,2,8,6,0,2,3,2,24,0,0,0,0.5,0,0,5,77,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,311,1,NotFaulty
2,1,0,1,6,1,0,1,2,2,66,0,0,0,0.5,0,0,32,159,7,NotFaulty
3,1,0,1,5,3,0,1,3,2,11,0,0,0,0.5556,0,0,2.6667,107,1,NotFaulty
13,2,0,0,64,72,0,0,6,0.8542,461,0.75,0,0.859,0.4808,1,8,34.1538,28,8,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,368,1,NotFaulty
6,1,0,0,6,15,0,0,6,1.2,8,0,0,0,0.5833,0,0,0,62,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.6667,0,0,0,188,1,NotFaulty
3,1,0,0,5,3,0,0,2,2,12,0,0,0,0.3333,0,0,3,126,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,190,1,NotFaulty
2,2,0,1,4,0,0,1,1,0,13,1,0,0.9091,0.6667,0,0,5,191,1,NotFaulty
3,6,0,5,34,3,0,5,1,0.5,222,0,0,0.9972,0.4444,1,1,72.6667,129,2,NotFaulty
9,5,0,2,33,18,0,2,7,0.8333,295,1,0,0.9885,0.3704,0,0,31.1111,44,1,NotFaulty
2,6,0,0,7,1,0,0,1,2,27,0,0,0.9986,0.6,1,1,12.5,199,1,NotFaulty
6,2,0,0,16,0,0,0,4,0,67,1,0,0.5833,0.5,0,0,10,67,2,NotFaulty
5,1,0,5,19,8,0,5,4,0.25,62,0,0,0,0.6,0,0,11.2,82,2,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,206,1,NotFaulty
3,6,0,4,18,1,0,4,1,0,81,1,0,0.9973,0.4667,1,1,25.3333,140,5,NotFaulty
8,1,0,8,29,14,0,8,7,0.5714,111,0,0,0,0.375,0,0,12.625,53,2,NotFaulty
6,5,0,0,10,3,0,0,4,0,58,0,0,0.9931,0.5,0,0,8.5,73,3,NotFaulty
5,6,0,0,16,2,0,0,4,0.625,74,0,0,0.9964,0.5833,4,7,13.4,88,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,222,1,NotFaulty
8,1,0,9,31,0,0,9,7,0.4286,127,0,0,0,0.375,0,0,14.625,56,2,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,228,1,NotFaulty
2,1,0,4,10,0,0,4,1,0,56,1,0,0,0.6,0,0,25,230,4,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,231,1,NotFaulty
2,2,0,1,6,0,0,1,1,0,20,1,0,0.75,0.6667,0,0,8.5,233,2,NotFaulty
2,1,0,1,5,0,0,1,1,0,17,1,0,0,0.6667,0,0,7,234,2,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,235,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,19,1,0,0,0.6667,0,0,7.5,236,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,19,1,0,0,0.6667,0,0,7.5,237,1,NotFaulty
2,2,0,3,19,0,0,3,1,0,82,1,0,0.9846,0.625,0,0,39,239,2,NotFaulty
2,1,0,1,4,0,0,1,1,0.3333,23,1,0,0,0.625,0,0,9,240,1,NotFaulty
2,1,0,4,8,0,0,4,1,0,28,1,0,0,0.6667,0,0,12,241,1,NotFaulty
2,1,0,1,3,1,0,1,1,1,10,1,0,0,0.75,0,0,3.5,242,1,NotFaulty
2,1,0,4,10,0,0,4,1,0,34,1,0,0,0.75,0,0,15.5,243,2,NotFaulty
2,1,0,4,9,0,0,4,1,0,34,1,0,0,0.6667,0,0,15,245,2,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,246,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,247,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,248,1,NotFaulty
2,2,0,1,4,0,0,1,1,0,13,1,0,0.9091,0.6667,0,0,5,249,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,250,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,251,1,NotFaulty
6,1,0,2,6,15,0,2,6,2,6,0,0,0,0.5,0,0,0,84,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,255,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,13,1,0,0,0.6667,0,0,5,256,1,NotFaulty
2,1,0,1,4,0,0,1,1,0,14,1,0,0,0.6667,0,0,5.5,257,1,NotFaulty
2,2,0,1,4,0,0,1,1,0,13,1,0,0.9091,0.6667,0,0,5,258,1,NotFaulty
2,2,0,1,5,0,0,1,1,0,17,1,0,0.8889,0.6667,0,0,7,259,2,NotFaulty
2,2,0,1,5,0,0,1,1,0,15,1,0,0.75,0.6667,0,0,6,260,1,NotFaulty
2,1,0,2,5,0,0,2,1,0.5,46,0.5,0,0,0.75,0,0,21,261,1,NotFaulty
5,6,0,0,19,8,0,0,4,0.75,99,0,0,0.9946,0.2857,1,1,18.4,106,2,NotFaulty
10,6,0,11,71,7,0,11,7,0.7593,456,1,0,0.9877,0.25,1,1,44,54,4,NotFaulty
2,1,0,3,15,0,0,3,1,0,88,1,0,0,0.625,0,0,41.5,276,3,NotFaulty
11,5,0,6,33,15,0,6,8,0.7333,142,1,0,0.9857,0.303,0,0,11.6364,51,3,NotFaulty
19,1,0,3,41,125,0,3,11,0.8556,305,1,0,0,0.3008,0,0,14.7895,32,5,NotFaulty
17,1,0,6,39,132,0,6,7,0.6563,276,0,0,0,0.2086,0,0,15.1176,37,4,NotFaulty
2,2,0,3,5,0,0,3,1,0,33,0,0,0.9846,0.625,0,0,14,1,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
2,1,0,3,6,0,0,3,1,0,25,0,0,0,0.6667,0,0,10.5,2,1,NotFaulty
39,1,0,2,63,741,0,2,38,2,431,0,0,0,0.1305,0,0,10.0513,1,6,NotFaulty
3,4,0,0,5,3,0,0,2,1.5,18,1,0,0.9565,0.6667,0,0,4.6667,24,2,NotFaulty
8,1,0,1,19,0,0,1,2,0.6786,274,1,0,0,0.5,0,0,32.25,11,4,NotFaulty
12,1,0,13,32,26,0,13,10,0.6061,119,1,0,0,0.2381,0,0,8.6667,9,4,NotFaulty
7,3,0,9,27,19,0,9,5,1,125,1,1,0.9286,0.4167,0,0,16.5714,17,3,NotFaulty
5,1,0,4,8,8,0,4,4,0.5,26,1,0,0,0.4667,0,0,4,25,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,127,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,64,1,NotFaulty
7,1,0,2,20,11,0,2,7,0.4167,74,1,0,0,0.4286,0,0,9.2857,19,1,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.625,0,0,0,35,1,NotFaulty
2,1,0,3,4,0,0,3,1,0.5,17,0,0,0,0.6667,0,0,6.5,71,1,NotFaulty
18,1,0,7,36,105,0,7,16,0.7176,246,1,0,0,0.2302,0,0,12.3889,9,3,NotFaulty
26,1,0,5,69,209,0,5,20,0.52,527,1,0,0,0.1846,0,0,19.1923,8,5,NotFaulty
31,1,0,4,80,449,0,4,19,0.9067,546,0.2,0,0,0.1467,0,0,16.4516,8,6,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
6,1,0,0,6,15,0,0,6,1.2,8,0,0,0,0.5833,0,0,0,45,1,NotFaulty
3,1,0,0,5,3,0,0,2,2,12,0,0,0,0.3333,0,0,3,92,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
17,1,0,6,39,132,0,6,7,0.6563,276,0,0,0,0.2086,0,0,15.1176,17,4,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
62,1,0,6,88,1891,0,6,50,2,646,0,0,0,0.0988,0,0,9.4194,6,5,NotFaulty
10,1,0,3,21,45,0,3,10,2,81,0,0,0,0.2286,0,0,7.1,40,2,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
9,1,0,1,20,0,0,1,1,0.6563,279,1,0,0,0.3889,0,0,29.1111,47,4,NotFaulty
4,4,0,1,8,0,0,1,4,0.8333,36,1,0,0.88,0.625,1,1,7,107,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,430,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,431,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
1,2,0,0,2,0,0,0,0,2,5,1,0,1,1,0,0,3,432,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,217,1,NotFaulty
3,1,0,1,9,0,0,1,2,0,31,1,0,0,0.6667,0,0,9,145,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,438,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,439,1,NotFaulty
