WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
3,1,0,13,32,3,0,13,2,2,193,0,0,0,0.5,0,0,63.3333,3,5,NotFaulty
10,1,0,6,23,45,0,6,8,2,85,0,0,0,0.46,0,0,7.5,2,2,NotFaulty
12,1,0,6,29,66,0,6,11,2,73,0,0,0,0.3333,0,0,5.0833,2,1,NotFaulty
1,1,0,1,3,0,0,1,0,2,42,0,0,0,0,0,0,40,36,1,NotFaulty
3,1,0,3,7,1,0,3,1,0.5,63,0,0,0,0.5,0,0,18.3333,13,2,NotFaulty
9,1,0,9,36,36,0,9,9,2,521,0,0,0,0.3611,0,0,56.8889,7,7,Faulty
8,1,0,13,28,26,0,13,2,0.9464,197,1,0,0,0.2708,0,0,22.625,10,5,Faulty
2,1,0,15,27,0,0,15,2,0,232,1,0,0,0.5833,0,0,114.5,47,14,Faulty
2,1,0,15,28,0,0,15,2,0,255,1,0,0,0.5833,0,0,126,55,15,Faulty
2,1,0,15,27,0,0,15,2,0,537,1,0,0,0.5833,0,0,267,62,13,Faulty
2,1,0,9,13,1,0,9,2,2,44,0,0,0,0.6,0,0,21,64,2,NotFaulty
2,1,0,13,28,1,0,13,2,2,223,0,0,0,0.6,0,0,110.5,72,15,Faulty
3,1,0,14,19,0,0,14,2,0,82,1,0,0,0.4444,0,0,26,50,3,NotFaulty
3,1,0,10,22,0,0,10,2,0.5,197,0.6667,0,0,0.5833,0,0,63.6667,55,15,NotFaulty
2,1,0,9,10,1,0,9,2,2,36,0,0,0,0.6,0,0,17,86,4,Faulty
2,1,0,8,19,1,0,8,2,2,231,0,0,0,0.6,0,0,114.5,91,10,NotFaulty
2,1,0,9,10,1,0,9,2,2,36,0,0,0,0.6,0,0,17,94,4,Faulty
2,1,0,9,14,1,0,9,2,2,79,0,0,0,0.6,0,0,38.5,96,4,NotFaulty
2,1,0,12,21,0,0,12,2,0,102,1,0,0,0.5833,0,0,49.5,101,8,Faulty
3,1,0,14,39,0,0,14,2,0,326,1,0,0,0.5,0,0,107,71,9,Faulty
4,1,0,11,30,6,0,11,2,2,432,0,0,0,0.5833,0,0,107,59,12,Faulty
2,1,0,17,22,0,0,17,2,0,97,1,0,0,0.5833,0,0,47,123,7,NotFaulty
2,1,0,16,29,0,0,16,2,0,270,1,0,0,0.5833,0,0,133.5,132,17,NotFaulty
2,1,0,14,23,0,0,14,2,0,112,1,0,0,0.5833,0,0,54.5,136,8,NotFaulty
2,1,0,18,40,0,0,18,2,0,568,1,0,0,0.5833,0,0,282.5,154,35,NotFaulty
2,1,0,17,34,0,0,17,2,0,323,1,0,0,0.5833,0,0,160,163,17,NotFaulty
2,1,0,19,33,0,0,19,2,0,169,1,0,0,0.5833,0,0,83,169,11,Faulty
2,1,0,15,22,0,0,15,2,0,126,1,0,0,0.5833,0,0,61.5,175,11,NotFaulty
2,1,0,18,30,1,0,18,2,2,140,0,0,0,0.6,0,0,69,182,12,NotFaulty
7,1,0,4,24,0,0,4,2,0.4667,117,1,0,0,0.4286,0,0,15,53,3,NotFaulty
2,1,0,2,22,0,0,2,2,0,104,1,0,0,0.75,0,0,50.5,191,6,NotFaulty
1,1,0,1,3,0,0,1,0,2,70,0,0,0,0,0,0,68,383,1,NotFaulty
13,2,0,9,52,62,0,9,11,0.9265,367,0.4706,10,0.5417,0.2833,1,1,25.9231,30,6,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,101,1,NotFaulty
1,1,0,2,5,0,0,2,0,2,124,0,0,0,0,0,0,121,407,1,NotFaulty
13,1,0,23,113,36,0,23,5,0.6759,1086,1,0,0,0.2222,0,0,81.8462,33,4,NotFaulty
4,2,0,1,7,4,0,1,2,0.9333,67,0.2,5,0.8667,0.4444,1,1,14.5,110,1,NotFaulty
1,1,0,2,5,0,0,2,0,2,110,0,0,0,0,0,0,107,444,1,Faulty
74,1,0,24,154,2321,0,24,72,0.9586,3754,0.913,0,0,0.1469,0,0,49.1081,8,60,Faulty
1,1,0,0,2,0,0,0,1,2,9,0,0,0,1,0,0,6,641,1,NotFaulty
1,1,0,1,3,0,0,1,0,2,91,0,0,0,0,0,0,89,642,1,NotFaulty
12,2,0,10,56,46,0,10,8,0.9141,355,0.2778,14,0.619,0.2857,1,1,27.0833,54,2,NotFaulty
1,1,0,1,3,0,0,1,0,2,49,0,0,0,0,0,0,47,657,1,NotFaulty
7,2,0,6,19,15,0,6,5,0.9074,157,0.3333,7,0.7222,0.3333,1,1,20.1429,95,2,NotFaulty
