WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
3,1,0,0,8,3,0,0,3,1.5,45,0,0,0,0.3333,0,0,13.3333,1,2,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.8333,0,0,0,2,1,NotFaulty
3,2,0,1,9,3,0,1,2,2,20,0,0,0.9697,1,0,0,5.6667,3,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,3,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,16,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
14,1,0,5,32,7,0,5,14,0.359,209,1,0,0,0.3571,0,0,13.7143,2,2,Faulty
2,1,0,2,5,0,0,2,1,0,14,0,0,0,0.75,0,0,5.5,18,1,NotFaulty
2,1,0,2,5,0,0,2,1,0,14,0,0,0,0.75,0,0,5.5,19,1,NotFaulty
2,1,0,2,5,0,0,2,1,0,14,0,0,0,0.75,0,0,5.5,20,1,NotFaulty
11,1,0,10,39,0,0,10,11,0.675,249,1,0,0,0.2909,0,0,21.2727,5,4,NotFaulty
14,1,0,2,14,91,0,2,14,2,14,0,0,0,0.4524,0,0,0,5,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,71,1,NotFaulty
2,1,0,3,4,1,0,3,2,2,9,0,0,0,1,0,0,3.5,36,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,74,1,NotFaulty
5,1,0,5,24,10,0,5,2,2,134,0,0,0,0.6,0,0,25.8,16,2,NotFaulty
2,1,0,3,4,1,0,3,2,2,9,0,0,0,0.75,0,0,3.5,41,1,NotFaulty
2,1,0,3,10,0,0,3,1,0,86,0,0,0,0.6667,0,0,41.5,43,3,NotFaulty
15,1,0,3,17,105,0,3,15,2,41,0,0,0,0.4444,0,0,1.7333,6,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,26,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,53,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,54,1,NotFaulty
5,1,0,4,13,0,0,4,3,0.25,38,1,0,0,0.4167,0,0,6.4,22,1,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,115,1,NotFaulty
15,1,0,6,47,61,0,6,14,0.8714,458,0.7,0,0,0.2571,0,0,28.8667,11,22,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,87,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,44,1,NotFaulty
12,1,0,1,12,66,0,1,12,2,12,0,0,0,0.2857,0,0,0,15,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,191,1,NotFaulty
9,1,0,3,9,36,0,3,9,2,9,0,0,0,0.2593,0,0,0,22,1,NotFaulty
6,1,0,1,12,7,0,1,5,0.5,86,1,0,0,0.5833,0,0,12.6667,35,4,NotFaulty
9,1,0,5,25,10,0,5,7,0.625,175,1,1,0,0.4375,0,0,18.1111,24,2,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,225,1,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,226,1,NotFaulty
4,1,0,1,6,0,0,1,4,0.6667,22,1,0,0,0.5,0,0,4,57,1,NotFaulty
12,1,0,2,12,66,0,2,12,2,12,0,0,0,0.1979,0,0,0,20,1,NotFaulty
23,1,0,10,28,217,0,10,20,0.9141,198,1,0,0,0.1565,0,0,7.2174,11,6,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,92,1,NotFaulty
6,1,0,4,6,15,0,4,6,2,6,0,0,0,0.4444,0,0,0,47,1,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,0.75,0,0,0,142,1,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,143,1,NotFaulty
90,1,0,33,191,0,0,33,89,0.0112,720,1,0,0,0.0952,0,0,6.9889,4,4,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,193,1,NotFaulty
17,1,0,21,97,64,0,21,16,0.8819,743,1,0,0,0.1696,0,0,42.1765,25,10,NotFaulty
3,1,0,5,12,0,0,5,3,0,65,1,0,0,0.6667,0,0,20.3333,148,4,NotFaulty
3,1,0,2,15,3,0,2,3,2,118,0,0,0,0.6667,0,0,38.3333,151,4,NotFaulty
3,1,0,2,21,3,0,2,3,2,146,0,0,0,0.6667,0,0,47.6667,155,5,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.8333,0,0,0,233,1,NotFaulty
3,1,0,2,5,3,0,2,3,2,11,0,0,0,0.6667,0,0,2.6667,156,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,118,1,NotFaulty
28,1,0,9,47,292,0,9,28,0.8009,362,1,0,0,0.1321,0,0,11.6429,18,8,Faulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,522,1,Faulty
6,1,0,1,7,5,0,1,6,0.8,38,0.25,0,0,0.5,0,0,4.6667,88,1,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,529,1,NotFaulty
13,1,0,1,31,36,0,1,13,0,175,1,0,0,0.359,0,0,12.3846,42,4,NotFaulty
2,1,0,1,3,1,0,1,1,2,6,0,0,0,0.75,0,0,2,277,1,NotFaulty
2,1,0,2,5,1,0,2,1,2,10,0,0,0,0.75,0,0,4,278,1,NotFaulty
2,1,0,3,5,1,0,3,1,2,9,0,0,0,0.75,0,0,3.5,279,1,NotFaulty
2,1,0,2,5,1,0,2,1,2,10,0,0,0,0.75,0,0,4,280,1,NotFaulty
2,1,0,3,8,1,0,3,1,2,19,0,0,0,0.75,0,0,8.5,281,2,NotFaulty
2,1,0,3,7,1,0,3,1,2,11,0,0,0,0.75,0,0,4.5,282,1,NotFaulty
2,1,0,3,7,1,0,3,1,2,12,0,0,0,0.75,0,0,5,283,1,NotFaulty
2,1,0,2,5,1,0,2,1,2,12,0,0,0,0.75,0,0,5,284,1,NotFaulty
2,1,0,2,5,1,0,2,1,2,12,0,0,0,0.75,0,0,5,285,1,NotFaulty
20,2,0,13,75,108,0,13,15,0.9787,2547,0.0515,130,0.4333,0.1711,1,1,119.55,31,7,NotFaulty
4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,156,1,NotFaulty
36,1,0,26,111,444,0,26,29,0.8403,1408,0.3182,0,0,0.1163,0,0,37.5,19,17,Faulty
5,1,0,2,6,2,0,2,5,0.8,40,0,0,0,0.4,0,0,6,141,1,NotFaulty
2,1,0,0,3,1,0,0,2,1,16,0,0,0,0.75,0,0,6,355,1,NotFaulty
3,1,0,1,4,0,0,1,3,0.6,50,0,0,0,0.5556,0,0,14,237,1,NotFaulty
6,1,0,3,8,7,0,3,5,0.9111,69,0,0,0,0.3333,0,0,9,119,1,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,360,1,NotFaulty
5,1,0,2,7,0,0,2,5,0.5227,151,0,0,0,0.6,0,0,27,145,3,NotFaulty
4,2,0,1,7,4,0,1,2,0.9697,133,0.0909,11,0.8667,0.4444,1,1,29.5,183,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.8333,34,0.5,2,0.8667,0.4444,1,1,7,184,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,185,1,NotFaulty
56,1,0,11,56,1540,0,11,56,2,56,0,0,0,0.1286,0,0,0,14,1,NotFaulty
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,200,1,NotFaulty
43,1,0,20,43,903,0,20,43,2,43,0,0,0,0.1151,0,0,0,19,1,NotFaulty
10,1,0,5,34,15,0,5,10,0.4444,163,0,0,0,0.45,0,0,15.2,86,5,Faulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,289,1,NotFaulty
10,1,0,1,10,45,0,1,10,2,10,0,0,0,0.7,0,0,0,87,1,NotFaulty
3,2,0,5,27,0,0,5,3,0.3333,137,0.6667,0,0.6,0.4667,0,0,43.6667,295,5,NotFaulty
15,2,0,4,26,27,0,4,12,0.7143,164,1,0,0.8312,0.225,0,0,9.6667,60,3,Faulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.5556,0,0,0,302,1,NotFaulty
3,1,0,0,7,0,0,0,3,0.3333,103,0,0,0,0.5556,1,1,32.3333,307,10,NotFaulty
9,2,0,4,16,36,0,4,8,1,74,0,1,0.6316,0.4167,0,0,7.1111,103,4,NotFaulty
2,1,0,4,11,0,0,4,1,0,39,0,0,0,0.6667,0,0,17.5,469,3,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,470,1,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,942,1,NotFaulty
67,1,0,15,137,0,0,15,66,0.4773,517,1,0,0,0.097,0,0,6.6866,15,2,NotFaulty
