WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
8,1,0,6,50,12,0,6,6,0.7937,713,0.1111,0,0,0.375,0,0,85.875,10,43,Faulty
7,1,0,0,15,5,0,0,7,0.25,97,1,0,0,0.3714,1,1,12.5714,13,4,Faulty
6,1,0,1,7,3,0,1,6,0.6,34,1,0,0,0.5556,0,0,4.3333,16,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Faulty
10,1,0,4,38,33,0,4,7,0.3889,312,0.5,0,0,0.4,0,0,30,12,6,Faulty
7,1,0,2,8,15,0,2,6,0.8333,34,1,0,0,0.3571,0,0,3.4286,18,1,Faulty
5,1,0,4,17,0,0,4,4,0.5833,63,1,0,0,0.4,0,0,11,27,1,Faulty
8,3,0,6,36,2,0,6,0,0.6667,295,1,0,0.4167,0.3438,0,0,34.75,18,4,NotFaulty
75,1,0,16,190,2601,0,16,21,0.8947,2500,0.8947,0,0,0.151,0,0,32.08,4,8,Faulty
3,3,0,0,6,3,0,0,3,2,18,0,0,1,0.7778,0,0,5,106,1,NotFaulty
6,1,0,5,6,15,0,5,6,2,6,0,0,0,0.5,0,0,0,54,1,Faulty
6,1,0,3,22,3,0,3,5,0.45,124,1,0,0,0.375,0,0,19,56,4,Faulty
5,1,0,1,6,0,0,1,5,0.6667,40,1,0,0,0.4667,0,0,6.4,68,1,NotFaulty
2,1,0,1,7,0,0,1,2,0.25,43,1,0,0,0.625,0,0,18.5,173,2,NotFaulty
33,1,0,9,126,458,0,9,12,0.9119,1585,1,0,0,0.1753,0,0,46.697,14,45,Faulty
9,1,0,1,18,8,0,1,7,0.5833,83,1,0,0,0.2667,0,0,7.8889,53,2,NotFaulty
8,1,0,1,24,0,0,1,4,0.6429,237,1,0,0,0.375,0,0,27.875,62,6,Faulty
8,1,0,2,8,28,0,2,8,2,8,0,0,0,0.3393,0,0,0,63,1,Faulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,506,1,NotFaulty
5,1,0,6,22,0,0,6,5,0.6667,104,1,0,0,0.45,0,0,19.2,103,6,Faulty
11,1,0,0,12,47,0,0,11,0.3,95,1,0,0,0.4545,0,0,7.2727,47,1,Faulty
10,1,0,0,22,27,0,0,10,0.7407,147,1,0,0,0.4,0,0,13.4,54,3,Faulty
9,1,0,0,15,10,0,0,9,0.4167,106,1,0,0,0.4,1,1,10.4444,61,5,Faulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,556,1,NotFaulty
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,188,7,NotFaulty
16,1,0,8,74,74,0,8,15,0.8667,837,1,0,0,0.2589,0,0,51.0625,5,28,Faulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,89,1,NotFaulty
20,3,0,3,28,70,0,3,20,0.5,257,1,0,0.8228,0.47,1,1,11.65,6,5,Faulty
21,1,0,11,123,156,0,11,16,0.9321,2106,1,0,0,0.2111,0,0,98.619,15,73,NotFaulty
8,1,0,1,24,0,0,1,8,0.1429,110,1,0,0,0.325,1,1,12.5,41,4,Faulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.6667,0,0,0,110,1,NotFaulty
9,1,0,0,17,10,0,0,9,0.4583,114,1,0,0,0.3148,1,1,11.3333,38,4,NotFaulty
2,1,0,1,3,1,0,1,1,1,15,0,2,0,1,0,0,5.5,174,1,Faulty
2,1,0,0,6,0,0,0,2,0,28,1,0,0,0.75,0,0,12,175,1,NotFaulty
4,1,0,1,9,0,0,1,4,0,28,1,0,0,0.625,0,0,5.75,88,1,NotFaulty
3,1,0,1,4,3,0,1,2,1,40,0,6,0,0.75,0,0,10.3333,119,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
6,1,0,0,10,0,0,0,4,0,47,1,0,0,0.3333,1,1,6.6667,60,3,Faulty
14,1,0,4,41,33,0,4,11,0.5769,345,1,0,0,0.4286,0,0,23.5,28,12,Faulty
9,1,0,4,13,20,0,4,8,0.7917,65,1,0,0,0.2778,0,0,5.8889,44,2,NotFaulty
4,1,0,1,5,0,0,1,4,0,20,1,0,0,0.75,0,0,3.75,102,1,NotFaulty
5,1,0,1,10,0,0,1,5,0,46,1,0,0,0.5333,0,0,8,83,3,NotFaulty
6,1,0,3,11,0,0,3,5,0.6,41,0,0,0,0.4444,0,0,5.5,70,1,Faulty
6,1,0,1,9,9,0,1,6,0.8,63,1,0,0,0.5556,0,0,9,71,2,NotFaulty
4,1,0,8,30,0,0,8,4,0.3333,167,0.6667,0,0,0.3571,0,0,40,111,2,NotFaulty
9,3,0,7,25,0,0,7,0,0.5417,220,0.8333,0,0.4167,0.3333,0,0,22.7778,51,3,NotFaulty
2,1,0,1,9,0,0,1,2,0,31,1,0,0,0.75,0,0,14,230,1,NotFaulty
91,1,0,30,266,3549,0,30,45,0.8706,3676,1,0,0,0.119,0,0,39.2418,7,29,Faulty
3,3,0,0,6,3,0,0,3,2,18,0,0,1,0.7778,0,0,5,241,1,NotFaulty
15,1,0,4,15,105,0,4,15,2,15,0,0,0,0.3,0,0,0,49,1,NotFaulty
6,1,0,1,6,15,0,1,6,2,6,0,0,0,1,0,0,0,124,1,NotFaulty
4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,187,1,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,251,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
7,1,0,5,19,9,0,5,6,0.4722,138,0.1667,0,0,0.2857,0,0,17.8571,109,3,Faulty
1,1,0,0,2,0,0,0,1,2,12,0,0,0,1,0,0,9,765,1,NotFaulty
5,1,0,1,6,0,0,1,5,0.6667,40,0.6667,0,0,0.4667,0,0,6.4,154,1,NotFaulty
2,1,0,1,7,0,0,1,2,0.25,47,0.75,0,0,0.625,0,0,20.5,387,3,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.5,0,0,0,307,1,NotFaulty
1,1,0,0,2,0,0,0,1,2,12,0,0,0,1,0,0,9,924,1,NotFaulty
9,1,0,1,21,0,0,1,9,0.5,133,0.6667,0,0,0.3111,0,0,13.4444,103,2,NotFaulty
10,1,0,1,30,11,0,1,4,0.7302,209,1,0,0,0.3611,0,0,19.2,95,6,Faulty
16,1,0,3,16,120,0,3,16,2,16,0,0,0,0.1927,0,0,0,60,1,Faulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,969,1,NotFaulty
4,1,0,3,28,0,0,3,4,0.4444,193,1,0,0,0.5,0,0,46.5,244,6,NotFaulty
14,1,0,1,16,63,0,1,13,0.4359,144,1,0,0,0.3673,0,0,8.8571,71,3,NotFaulty
12,1,0,0,25,54,0,0,11,0.7727,158,1,0,0,0.3333,0,0,11.8333,84,4,NotFaulty
10,1,0,0,16,17,0,0,10,0.5278,116,1,0,0,0.3333,1,1,10.2,102,5,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1026,1,NotFaulty
3,3,0,0,7,3,0,0,2,2,32,0,0,0.9701,0.8333,0,0,9.6667,343,2,NotFaulty
3,3,0,0,7,3,0,0,2,2,32,0,0,0.9701,0.8333,0,0,9.6667,345,2,NotFaulty
3,3,0,0,4,0,0,0,3,0.5,21,1,0,0.9167,0.5556,0,0,5.3333,346,1,NotFaulty
3,3,0,0,4,0,0,0,3,0.5,21,1,0,0.9167,0.6667,0,0,5.3333,347,1,NotFaulty
7,1,0,7,32,9,0,7,7,0.6111,244,1,0,0,0.4694,0,0,33.4286,151,4,NotFaulty
6,1,0,3,32,13,0,3,4,1.1143,324,1,0,0,0.4,0,0,51.8333,179,6,NotFaulty
6,1,0,1,33,15,0,1,4,2,236,0,0,0,0.3095,0,0,38.3333,184,17,NotFaulty
3,1,0,0,6,0,0,0,2,0,22,1,0,0,0.6667,0,0,6,369,2,NotFaulty
5,1,0,0,25,8,0,0,4,0.75,189,1,0,0,0.4375,0,0,36.6,224,7,NotFaulty
4,1,0,0,16,4,0,0,3,0.6667,85,1,0,0,0.3333,0,0,19.75,282,2,NotFaulty
2,1,0,0,3,0,0,0,2,0.3333,30,0,0,0,0.75,0,0,12.5,565,1,NotFaulty
