WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
3,1,0,1,30,3,0,1,2,2,315,0,0,0,0.3333,0,0,104,3,6,NotFaulty
8,1,0,1,17,0,0,1,8,0.6429,333,0.5,0,0,0.4688,0,0,40.375,3,6,NotFaulty
5,3,0,0,7,4,0,0,5,0.5,29,1,0,0.9565,0.6,0,0,4.6,7,1,NotFaulty
5,4,0,0,7,4,0,0,5,0.5,29,1,0,0.9565,0.6,0,0,4.6,8,1,NotFaulty
6,1,0,3,24,7,0,3,4,0.75,230,1,0,0,0.55,0,0,36.6667,9,9,Faulty
22,1,0,10,56,197,0,10,16,0.8139,378,0.5455,0,0,0.369,0,0,15.6818,3,4,Faulty
2,1,0,6,8,1,0,6,2,2,28,0,0,0,0.5,0,0,13,45,3,Faulty
12,1,0,5,30,48,0,5,9,0.8182,322,1,0,0,0.5,0,0,25.25,9,7,Faulty
8,1,0,2,12,8,0,2,7,0.8214,129,0.0833,0,0,0.6429,0,0,13.625,15,3,NotFaulty
2,1,0,2,16,1,0,2,2,2,231,0,0,0,0.5,0,0,114.5,72,17,NotFaulty
6,1,0,0,8,15,0,0,6,1.2,139,0,0,0,0.3333,0,0,22,26,4,NotFaulty
1,1,0,0,2,0,0,0,1,2,51,0,0,0,1,0,0,3,159,1,NotFaulty
6,3,0,0,15,15,0,0,6,1.1784,287,0.0541,2,0.9286,0.3,1,2,40.6667,27,2,NotFaulty
8,3,0,1,15,26,0,1,7,0.8571,217,0.25,1,0.9155,0.3429,1,1,25.625,22,3,NotFaulty
9,1,0,121,151,32,0,121,5,0.75,1302,0.5,0,0,0.254,0,0,143.4444,35,117,NotFaulty
2,1,0,3,5,1,0,3,1,1,14,1,0,0,0.6667,0,0,5.5,162,1,Faulty
4,1,0,6,16,4,0,6,4,0.3333,82,0,0,0,0.4167,0,0,19.25,82,3,Faulty
6,1,0,17,45,5,0,17,6,0.55,247,0,0,0,0.375,0,0,39.5,58,11,Faulty
2,1,0,3,4,0,0,3,2,0,14,0,0,0,0.6667,0,0,5.5,175,1,NotFaulty
9,1,0,11,40,28,0,11,6,0.6875,416,1,0,0,0.3333,0,0,45,42,13,NotFaulty
4,1,0,10,49,0,0,10,4,0,492,1,0,0,0.5625,0,0,121,100,8,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,402,1,NotFaulty
11,1,0,13,66,25,0,13,6,0.979,1404,0.0617,0,0,0.15,0,0,119.2727,47,76,NotFaulty
2,1,0,2,5,0,0,2,1,0,49,1,0,0,0.6,0,0,22,263,5,NotFaulty
5,1,0,8,24,2,0,8,4,0.6667,117,0,0,0,0.36,0,0,21.8,107,7,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,539,1,NotFaulty
3,1,0,3,4,3,0,3,3,2,7,0,0,0,0.8333,0,0,1.3333,180,1,Faulty
6,1,0,8,19,15,0,8,5,2,171,0,0,0,0.6667,0,0,27.5,93,14,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,562,1,NotFaulty
4,1,0,5,17,0,0,5,3,0,116,1,0,0,0.5,0,0,27.75,143,5,Faulty
5,3,0,0,7,4,0,0,5,0.5,29,1,0,0.9565,0.6,0,0,4.6,115,1,NotFaulty
54,1,0,30,137,651,0,30,7,0.7669,1867,0.7059,0,0,0.174,0,0,33.2593,13,14,Faulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
5,1,0,1,6,0,0,1,5,0.5833,43,1,1,0,0.4,0,0,7,151,1,NotFaulty
109,1,0,55,342,4376,0,55,75,0.938,3384,0.6944,0,0,0.0787,0,0,29.7156,9,34,Faulty
85,1,0,43,273,2666,0,43,46,0.915,3227,0.9286,0,0,0.168,0,0,36.8,13,19,Faulty
28,1,0,1,35,198,0,1,28,0.8418,388,1,0,0,0.3839,0,0,12.4643,43,12,NotFaulty
10,1,0,0,10,45,0,0,10,2,10,0,0,0,0.4,0,0,0,122,1,NotFaulty
4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.5,0,0,0,306,1,NotFaulty
10,1,0,3,31,3,0,3,9,0.2222,183,0,0,0,0.3333,0,0,17.2,123,2,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,620,1,NotFaulty
1,1,0,1,2,0,0,1,1,2,24,0.2,0,0,1,0,0,18,1241,1,NotFaulty
3,1,0,0,9,0,0,0,3,0,86,0,0,0,0.5,0,0,26.6667,414,1,NotFaulty
15,1,0,0,23,105,0,0,12,2,84,0,0,0,0.4833,0,0,4.6,83,1,NotFaulty
8,1,0,11,60,16,0,11,5,0.9894,1348,0.037,0,0,0.1429,0,0,157.375,170,78,NotFaulty
1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,1365,1,NotFaulty
9,1,0,3,17,0,0,3,7,0.5,234,1,0,0,0.5111,0,0,24.5556,152,2,NotFaulty
1,1,0,0,2,0,0,0,0,2,6,0,0,0,1,0,0,3,1377,1,NotFaulty
23,1,0,4,46,123,0,4,4,0.6591,668,1,0,0,0.2671,0,0,27.6087,62,9,NotFaulty
2,1,0,1,5,0,0,1,2,0,42,0,0,0,0.8333,0,0,19,717,1,NotFaulty
8,1,0,2,20,0,0,2,3,0.369,441,1,0,0,0.4167,0,0,52.625,181,6,NotFaulty
12,1,0,6,35,16,0,6,8,0.7273,359,0.5556,0,0,0.3194,0,0,28.1667,123,9,NotFaulty
