WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
13,4,0,24,76,38,0,24,10,0.8333,683,1,0,0.8667,0.5,2,2,50.4615,4,19,Faulty
2,1,0,0,8,1,0,0,2,2,75,0,0,0,0.5,0,0,36.5,32,9,Faulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Faulty
37,1,0,14,92,0,0,14,34,0.5,438,1,0,0,0.1778,1,1,10.7838,3,13,Faulty
3,1,0,2,11,3,0,2,2,2,41,0,0,0,0.6667,0,0,12.6667,40,2,Faulty
3,1,0,1,8,1,0,1,0,0.5,45,1,0,0,0.5,0,0,13.6667,41,2,Faulty
4,1,0,5,10,6,0,5,4,2,34,0,0,0,0.5,0,0,7.5,32,1,Faulty
7,1,0,0,20,1,0,0,6,0,137,1,0,0,0.4643,0,0,18.2857,20,4,Faulty
25,1,0,15,64,300,0,15,25,2,332,0,0,0,0.1491,0,0,12.28,7,8,Faulty
24,1,0,13,62,0,0,13,24,0,392,1,0,0,0.2386,0,0,15.2917,8,8,Faulty
7,1,0,6,12,0,0,6,7,0.5,140,1,0,0,0.3265,0,0,18.5714,33,5,Faulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Faulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,233,1,Faulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,234,1,Faulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,235,1,Faulty
3,1,0,1,4,0,0,1,3,0.3333,43,1,0,0,0.5556,0,0,12.3333,79,1,NotFaulty
18,1,0,3,37,133,0,3,18,0.8824,302,0,0,0,0.3333,0,0,15.6667,14,4,Faulty
5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.6667,0,0,0,53,1,Faulty
0,1,0,4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,Faulty
18,1,0,8,35,33,0,8,18,0.6863,144,0,0,0,0.2381,0,0,6.8333,16,3,Faulty
11,1,0,5,21,17,0,5,10,0.75,92,1,0,0,0.2576,0,0,7,27,2,Faulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,152,1,Faulty
8,1,0,2,8,28,0,2,8,2,8,0,0,0,0.325,0,0,0,39,1,Faulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,157,1,Faulty
19,1,0,10,46,0,0,10,19,0.7,227,0.2,0,0,0.193,0,0,10.6842,17,4,Faulty
10,1,0,3,40,39,0,3,4,0.963,460,1,0,0,0.3889,0,0,44.7,36,4,Faulty
1,3,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,365,1,Faulty
20,2,0,0,30,52,0,0,14,0.6737,378,0.7,0,0.4483,0.3246,1,2,17.4,20,8,Faulty
30,1,0,10,60,435,0,10,30,2,133,0,0,0,0.1333,0,0,3.4333,14,1,Faulty
0,1,0,0,0,0,0,0,0,2,51,0,0,0,0,0,0,0,0,0,Faulty
