WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,FAULTY
10,1,0,0,15,45,0,0,9,2,53,0,0,0,0.2286,0,0,4.3,1,2,Faulty
8,1,0,0,16,14,0,0,6,0.7857,113,1,0,0,0.5714,0,0,12.625,2,1,Faulty
5,3,0,0,6,8,0,0,5,0,34,1,0,0.9565,0.6,0,0,5.6,5,1,Faulty
2,3,0,0,4,1,0,0,2,2,9,0,0,1,0.75,0,0,3.5,14,1,Faulty
8,1,0,0,28,28,0,0,7,2,127,0,0,0,0.3333,0,0,14.875,5,6,Faulty
8,1,0,0,16,14,0,0,6,0.7857,111,1,0,0,0.5714,0,0,12.375,6,1,Faulty
4,1,0,0,5,0,0,0,0,0,28,1,0,0,0.625,0,0,5.75,14,2,NotFaulty
11,1,0,8,36,0,0,8,11,0.7167,331,1,0,0,0.3182,0,0,28.5455,8,9,NotFaulty
9,1,0,2,22,18,0,2,3,1.0288,377,0.1538,0,0,0.3175,0,0,39.4444,15,18,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
4,1,0,1,4,6,0,1,4,2,4,0,0,0,0.75,0,0,0,36,1,NotFaulty
8,1,0,1,8,28,0,1,8,2,8,0,0,0,0.75,0,0,0,19,1,NotFaulty
4,1,0,1,4,6,0,1,4,2,4,0,0,0,0.75,0,0,0,39,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,79,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,80,1,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,81,1,NotFaulty
14,1,0,1,14,91,0,1,14,2,14,0,0,0,0.5,0,0,0,12,1,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NotFaulty
