WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0,NotFaulty
9,1,0,0,10,28,0,0,9,0.925,45,1,0,0,0.4815,0,0,3.4444,1,1,0,NotFaulty
6,1,0,5,23,15,0,5,3,2,163,0,0,0,0.4667,0,0,26.1667,4,4,0.004,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,26,1,0,NotFaulty
5,1,0,9,34,8,0,9,4,0.75,195,1,0,0,0.4375,0,0,37.8,7,6,0.006,NotFaulty
6,1,0,7,35,7,0,7,4,0.7,138,1,0,0,0.7,0,0,21.6667,8,5,0.0085,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,13,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,54,1,0,NotFaulty
7,3,0,1,15,13,0,1,7,0.8889,88,1,0,0.8929,0.5714,0,0,11.1429,8,1,0.0427,NotFaulty
3,3,0,0,10,3,0,0,3,1.5,34,1,0,0.9615,0.6667,0,0,10,21,1,0.012,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.875,0,0,0,33,1,0,NotFaulty
21,1,0,13,68,144,0,13,17,0.675,432,1,1,0,0.3143,0,0,19.381,4,5,0.0345,NotFaulty
7,1,0,0,8,15,0,0,7,0.8333,34,1,0,0,0.3571,0,0,3.4286,15,1,0.0131,NotFaulty
5,1,0,0,6,6,0,0,5,0.75,24,1,0,0,0.4667,0,0,3.4,23,1,0.0052,NotFaulty
19,1,0,9,47,133,0,9,18,0.9167,441,1,0,0,0.2697,0,0,21.5789,7,7,0.014,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,150,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
2,1,0,7,7,0,0,7,2,0.3333,43,0.6667,0,0,0.625,0,0,19,76,2,0,NotFaulty
3,1,0,3,5,1,0,3,1,0,27,0.5,0,0,0.6,0,0,7.3333,52,1,0,NotFaulty
3,1,0,1,5,0,0,1,3,0,18,1,0,0,0.6667,0,0,4.6667,53,1,0,NotFaulty
5,1,0,2,5,10,0,2,5,2,5,0,0,0,0.7333,0,0,0,32,1,0,NotFaulty
6,1,0,7,24,0,0,7,6,0.3,101,1,0,0,0.6667,0,0,15.5,28,1,0.0076,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,29,1,0,NotFaulty
9,1,0,1,15,4,0,1,9,0.75,125,1,0,0,0.3611,1,1,12.4444,21,9,0,NotFaulty
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.375,0,0,0,25,1,0,NotFaulty
12,1,0,1,12,66,0,1,12,2,12,0,0,0,0.3,0,0,0,17,1,0,NotFaulty
15,1,0,2,24,55,0,2,15,0.8571,222,1,0,0,0.2444,1,1,13.3333,16,18,0,NotFaulty
15,1,0,1,25,35,0,1,15,0.8163,261,1,0,0,0.2444,1,1,15.9333,19,21,0,NotFaulty
8,1,0,1,8,28,0,1,8,2,8,0,0,0,0.3,0,0,0,37,1,0,NotFaulty
11,1,0,2,22,17,0,2,11,0.8,182,1,0,0,0.2424,1,1,15.0909,29,15,0,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,0.8,0,0,0,110,1,0,NotFaulty
12,1,0,11,27,46,0,11,12,0.7818,157,1,0,0,0.2315,0,0,11.6667,29,5,0.0066,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.75,0,0,0,117,1,0,NotFaulty
5,1,0,4,31,0,0,4,4,0.5,151,1,0,0,0.625,0,0,28.8,72,7,0,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,92,1,0,NotFaulty
19,1,0,0,20,117,0,0,19,0.8519,133,1,0,0,0.4737,0,0,5.5263,20,1,0.0267,NotFaulty
11,1,0,0,17,29,0,0,11,0.86,99,1,0,0,0.4545,0,0,7.5455,36,2,0,NotFaulty
2,1,0,6,6,1,0,6,2,1,47,1,0,0,0.75,0,0,22,201,1,0.001,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.5,0,0,0,101,1,0,NotFaulty
2,1,0,4,9,0,0,4,1,0.5,32,0,0,0,0.625,0,0,14,204,1,0,NotFaulty
6,1,0,4,9,3,0,4,6,0.6,36,1,0,0,0.375,0,0,4.6667,69,1,0,NotFaulty
7,1,0,0,8,15,0,0,7,0.9167,35,1,0,0,0.4762,0,0,3.4286,60,1,0,NotFaulty
9,1,0,1,17,16,0,1,7,0.8393,131,0.5714,3,0,0.4583,1,1,12.7778,48,7,0.0026,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,439,1,0,NotFaulty
2,1,0,9,34,0,0,9,1,0,136,0,0,0,0.625,0,0,66,225,10,0,NotFaulty
4,1,0,5,7,0,0,5,2,0.6667,36,1,0,0,0.4,0,0,7.25,113,1,0.0032,NotFaulty
3,1,0,1,4,3,0,1,3,2,10,0,0,0,0.8333,0,0,2.3333,152,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,229,1,0,NotFaulty
15,2,0,1,36,0,0,1,14,0.6429,171,0.6667,0,0.4286,0.2449,1,2,10.2,32,3,0.046,NotFaulty
4,1,0,2,23,4,0,2,2,1.2381,191,0.1429,0,0,0.4167,0,0,45,127,21,0,NotFaulty
2,1,0,2,5,1,0,2,1,1,17,0,0,0,0.6667,0,0,7,256,1,0,NotFaulty
6,1,0,9,77,7,0,9,3,0.8,498,0.75,0,0,0.4,0,0,81.3333,89,8,0.0138,NotFaulty
4,1,0,3,18,0,0,3,2,0.4,126,1,0,0,0.6667,0,0,29.25,136,8,0.0207,NotFaulty
8,1,0,10,34,0,0,10,4,0.2857,321,1,0,0,0.4643,0,0,39,71,6,0.0337,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,143,1,0,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,144,1,0,NotFaulty
2,1,0,1,5,1,0,1,1,1,17,0,0,0,0.6667,0,0,7,289,1,0,NotFaulty
10,1,0,1,14,33,0,1,10,0.8333,62,1,0,0,0.3,0,0,4.8,58,1,0.001,NotFaulty
9,1,0,0,9,36,0,0,9,2,9,0,0,0,0.2778,0,0,0,66,1,0,NotFaulty
10,1,0,1,11,45,0,1,10,2,27,0,0,0,0.2667,0,0,1.7,60,1,0,NotFaulty
3,1,0,0,6,3,0,0,2,2,48,0,0,0,0.5556,0,0,15,205,6,0,NotFaulty
3,1,0,1,8,1,0,1,2,0.5,43,0,0,0,0.4667,0,0,12.6667,206,1,0,NotFaulty
3,1,0,0,10,0,0,0,3,0.25,41,1,0,0,0.4762,0,0,12,207,2,0,NotFaulty
2,1,0,1,4,1,0,1,1,2,7,0,0,0,0.5,0,0,2.5,312,1,0,NotFaulty
9,1,0,6,26,24,0,6,7,0.5938,144,1,0,0,0.3333,0,0,14.5556,71,3,0.001,NotFaulty
6,1,0,0,10,7,0,0,5,0.7,31,1,0,0,0.3333,0,0,3.8333,107,1,0.031,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,162,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,650,1,0,NotFaulty
4,1,0,16,73,0,0,16,3,0.7778,406,0.6667,0,0,0.4167,0,0,99.75,167,12,0.0085,NotFaulty
11,1,0,0,15,37,0,0,11,0.85,102,1,0,0,0.2909,1,1,7.9091,62,7,0.0085,NotFaulty
2,1,0,3,7,1,0,3,2,2,27,0,0,0,0.5,0,0,12.5,346,3,0,NotFaulty
4,1,0,1,8,4,0,1,4,0.6667,32,1,0,0,0.625,0,0,6.5,174,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,233,1,0,NotFaulty
4,1,0,3,10,0,0,3,4,0.8333,60,1,0,0,0.625,0,0,13.5,176,2,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,118,1,0,NotFaulty
9,1,0,1,12,12,0,1,9,0.8125,106,1,0,0,0.3611,1,1,10.3333,81,9,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,244,1,0,NotFaulty
5,1,0,5,10,4,0,5,4,0.75,27,1,0,0,0.625,0,0,4,147,1,0,NotFaulty
7,1,0,3,12,21,0,3,7,2,40,0,0,0,0.9286,0,0,4.7143,106,1,0,NotFaulty
12,1,0,0,18,64,0,0,11,1,79,0,0,0,0.3636,0,0,5.4167,63,1,0,NotFaulty
6,1,0,1,10,3,0,1,5,0.6,36,1,0,0,0.2,0,0,4.6667,127,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,765,1,0,NotFaulty
63,1,0,4,108,1219,0,4,60,0.6613,719,0.75,1,0,0.1642,1,1,10.3492,13,9,0.0067,NotFaulty
3,1,0,1,21,1,0,1,3,0,129,1,0,0,0.4,0,0,41.3333,291,4,0.0052,NotFaulty
9,1,0,1,17,16,0,1,7,0.8977,159,0.3636,7,0,0.4583,1,1,15.4444,99,7,0,NotFaulty
2,1,0,3,13,1,0,3,2,2,91,0,0,0,0.5,0,0,44.5,451,11,0.003,NotFaulty
3,1,0,0,4,0,0,0,3,1,22,0.5,0,0,0.6667,0,0,5,302,1,0.0062,NotFaulty
8,1,0,5,24,0,0,5,7,0.6071,190,1,0,0,0.5,0,0,22.25,115,3,0.007,NotFaulty
16,1,0,4,16,120,0,4,16,2,16,0,0,0,1,0,0,0,58,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,313,1,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,470,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,942,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,472,1,0,NotFaulty
2,1,0,0,3,1,0,0,2,2,7,0,0,0,1,0,0,2.5,473,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,237,1,0.001,NotFaulty
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,238,1,0.001,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,478,1,0,NotFaulty
4,2,0,2,7,4,0,2,2,0.9848,254,0.0455,22,0.8667,0.4444,1,1,57,240,1,0.001,NotFaulty
4,2,0,2,7,4,0,2,2,0.9444,78,0.1667,6,0.8667,0.4444,1,1,17,241,1,0.001,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
35,1,0,2,36,593,0,2,33,0.9706,97,0.5,0,0,0.2357,0,0,1.7143,28,1,0,NotFaulty
