WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
10,1,0,3,41,45,0,3,10,2,173,0,0,0,0.4667,1,1,16.3,1,9,0.0035,NotFaulty
8,1,0,3,8,28,0,3,8,2,8,0,0,0,1,0,0,0,3,1,0,NotFaulty
8,1,0,1,17,20,0,1,8,0.5,121,1,0,0,0.3438,1,1,13.625,5,6,0.0051,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,21,1,0,NotFaulty
3,1,0,0,4,0,0,0,3,0.5,20,1,0,0,0.5556,0,0,5,15,1,0.0356,NotFaulty
4,1,0,0,10,2,0,0,2,0.5556,51,0.3333,2,0,0.6667,0,0,11,12,3,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.6667,0,0,0,26,1,0,NotFaulty
45,1,0,11,111,634,0,11,37,0.8442,999,1,0,0,0.1416,0,0,20.8889,3,10,0.0089,NotFaulty
2,1,0,3,4,0,0,3,2,0,20,1,0,0,0.8333,0,0,8,76,1,0,NotFaulty
56,1,0,23,146,1146,0,23,56,0.8535,1079,1,0,0,0.0795,0,0,17.9464,4,6,0.0415,NotFaulty
12,1,0,4,19,44,0,4,12,0.8333,85,1,0,0,0.2361,1,1,5.5833,21,2,0.0013,NotFaulty
2,1,0,3,4,1,0,3,2,2,8,0,0,0,0.625,0,0,3,131,1,0.0001,NotFaulty
8,1,0,3,8,28,0,3,8,2,8,0,0,0,1,0,0,0,33,1,0,NotFaulty
20,1,0,6,20,190,0,6,20,2,20,0,0,0,0.3625,0,0,0,14,1,0,NotFaulty
13,1,0,9,13,78,0,9,13,2,13,0,0,0,0.1859,0,0,0,23,1,0,NotFaulty
2,1,0,4,11,1,0,4,1,1,30,1,0,0,0.6667,0,0,13.5,154,4,0,Faulty
2,1,0,2,6,1,0,2,1,1,33,1,0,0,0.6667,0,0,15,156,3,0,Faulty
5,1,0,0,9,0,0,0,4,0.5833,64,1,0,0,0.6,0,0,11.2,63,3,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,847,1,0,NotFaulty
15,1,0,3,29,81,0,3,11,0.8367,149,1,0,0,0.1939,0,0,8.4667,57,2,0.079,NotFaulty
11,1,0,4,28,7,0,4,11,0.7833,161,1,0,0,0.1919,1,1,13.0909,80,4,0,NotFaulty
6,1,0,2,11,0,0,2,6,0.6,77,1,0,0,0.3333,0,0,11.1667,148,2,0,NotFaulty
5,1,0,1,10,6,0,1,5,0.25,65,1,0,0,0.4,1,1,11.6,179,4,0,NotFaulty
5,1,0,1,10,6,0,1,5,0.25,65,1,0,0,0.4,1,1,11.6,181,4,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,395,1,0,NotFaulty
3,1,0,0,4,0,0,0,3,0.5,20,1,0,0,0.6667,0,0,5,396,1,0.0198,NotFaulty
9,1,0,29,104,36,0,29,2,0.875,1194,0,0,0,0.2698,0,0,131.4444,137,28,0.0215,NotFaulty
23,1,0,11,23,253,0,11,23,1.0455,25,0,0,0,0.1685,0,0,0,54,1,0,NotFaulty
6,1,0,9,47,7,0,9,4,0.4667,257,1,0,0,0.4167,0,0,41.3333,212,6,0.0004,NotFaulty
9,1,0,0,17,6,0,0,9,0.5938,148,0.75,0,0,0.4074,1,1,15,143,4,0.1319,NotFaulty
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,1291,1,0,NotFaulty
8,1,0,3,8,28,0,3,8,2,8,0,0,0,1,0,0,0,164,1,0,NotFaulty
5,1,0,2,17,0,0,2,5,0.5833,103,0.3333,0,0,0.4667,0,0,19,264,5,0,NotFaulty
13,3,0,8,32,4,0,8,13,0.6667,134,1,0,0.7551,0.1923,2,2,9.0769,102,4,0.0001,NotFaulty
8,1,0,5,12,22,0,5,7,0.8571,46,1,0,0,0.6667,0,0,4.5,168,2,0,NotFaulty
6,1,0,5,19,0,0,5,5,0.4667,89,1,0,0,0.55,0,0,13.3333,226,4,0,NotFaulty
5,1,0,0,6,2,0,0,1,0.75,36,1,0,0,0.4,0,0,5.4,272,1,0,NotFaulty
3,1,0,0,4,0,0,0,1,0.5,20,1,0,0,0.4444,0,0,5,454,1,0,NotFaulty
2,4,0,4,17,1,0,4,1,1,66,1,0,0.9877,0.75,2,2,31.5,684,4,0,NotFaulty
9,1,0,1,11,28,0,1,9,0.875,47,1,0,0,0.7222,0,0,3.7778,153,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
3,1,0,0,4,1,0,0,3,0.5,14,0,0,0,0.6667,0,0,3.3333,460,1,0,NotFaulty
18,1,0,4,20,143,0,4,18,0.9412,83,1,0,0,0.463,0,0,3.3889,77,2,0,NotFaulty
27,3,0,15,91,329,0,15,4,0.9519,722,0.5,0,0.5968,0.2788,2,2,25.5926,54,10,0.0246,Faulty
10,1,0,1,12,25,0,1,10,0.8056,53,1,0,0,0.7,0,0,3.9,147,1,0.0002,NotFaulty
3,1,0,1,4,1,0,1,2,0,16,1,0,0,0.6667,0,0,4,492,1,0.0001,NotFaulty
2,4,0,2,4,0,0,2,2,0,14,1,0,0.9565,0.75,0,0,5.5,739,1,0,NotFaulty
4,1,0,2,10,6,0,2,4,2,63,0,0,0,0.3333,0,0,14.75,371,2,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,743,1,0,NotFaulty
6,1,0,3,7,7,0,3,6,0.7,28,1,0,0,0.4444,0,0,3.3333,248,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
5,1,0,4,9,0,0,4,3,0,28,1,0,0,0.5333,0,0,4.4,299,1,0,NotFaulty
4,4,0,0,8,6,0,0,4,2,20,0,0,1,0.6667,0,0,4,375,1,0,NotFaulty
10,1,0,6,15,29,0,6,8,0.7778,67,1,0,0,0.65,0,0,5.3,151,2,0.0004,NotFaulty
4,1,0,3,7,0,0,3,4,0.3333,31,1,0,0,0.4375,0,0,6.25,379,2,0.0001,NotFaulty
13,1,0,5,33,44,0,5,6,0.5556,162,1,0,0,0.188,1,1,11.2308,118,5,0.0027,NotFaulty
2,1,0,4,5,0,0,4,1,0.5,22,1,0,0,0.625,0,0,9,768,1,0,NotFaulty
2,1,0,4,6,0,0,4,1,0.3333,51,1,0,0,0.6,0,0,23,770,4,0,NotFaulty
3,1,0,11,23,0,0,11,2,1,201,1,0,0,0.5833,0,0,64,518,6,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1557,1,0,NotFaulty
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,1558,1,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.75,0,0,0,260,1,0,NotFaulty
4,1,0,1,21,6,0,1,4,2,97,0,0,0,0.4,0,0,23.25,393,3,0.0001,NotFaulty
10,1,0,1,16,25,0,1,7,0.7222,130,1,0,0,0.45,0,0,11.4,158,3,0.0002,NotFaulty
4,1,0,1,6,0,0,1,4,0.3333,35,1,0,0,0.5,0,0,7.25,398,3,0,NotFaulty
2,1,0,2,6,0,0,2,2,0,26,1,0,0,0.6667,0,0,11.5,797,2,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1596,1,0,NotFaulty
4,1,0,3,18,4,0,3,3,0.6667,77,0,0,0,0.3333,0,0,18,401,4,0,NotFaulty
3,1,0,1,4,3,0,1,1,1,14,0,0,0,0.75,0,0,3.3333,536,1,0,NotFaulty
3,1,0,1,5,0,0,1,3,0,22,1,0,0,0.5556,0,0,6,537,2,0,NotFaulty
4,1,0,1,6,0,0,1,4,0.3333,35,1,0,0,0.5,0,0,7.25,404,3,0,NotFaulty
7,1,0,4,14,13,0,4,7,0.75,56,1,0,0,0.3143,0,0,6.7143,232,4,0.0001,NotFaulty
2,1,0,1,9,1,0,1,1,2,61,0,0,0,0.75,0,0,29.5,818,7,0,NotFaulty
3,1,0,2,21,1,0,2,1,0.5,235,1,0,0,0.5,0,0,77,554,23,0,NotFaulty
6,1,0,0,8,3,0,0,6,0.6,42,1,0,0,0.4444,0,0,5.6667,278,3,0,NotFaulty
2,1,0,1,6,1,0,1,1,2,23,0,0,0,0.75,0,0,10.5,836,1,0,NotFaulty
5,1,0,1,6,8,0,1,3,0.75,20,1,0,0,0.5,0,0,2.8,335,1,0,NotFaulty
3,1,0,4,8,1,0,4,3,0.5,34,1,0,0,0.8333,0,0,9.6667,560,3,0,NotFaulty
5,1,0,4,9,8,0,4,3,0.75,29,1,1,0,0.5,0,0,4.6,337,2,0,NotFaulty
3,1,0,1,5,1,0,1,3,0.5,26,1,0,0,0.8333,0,0,7.3333,564,3,0,NotFaulty
5,1,0,4,9,8,0,4,3,0.75,29,1,1,0,0.5,0,0,4.6,339,2,0,NotFaulty
3,1,0,6,12,1,0,6,3,0.5,42,1,0,0,0.8333,0,0,12.6667,568,3,0,NotFaulty
5,1,0,4,9,8,0,4,3,0.75,29,1,1,0,0.5,0,0,4.6,342,2,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,856,1,0,NotFaulty
8,1,0,5,21,28,0,5,8,2,141,0,0,0,0.3125,0,0,16.625,216,6,0.0016,NotFaulty
3,1,0,3,13,0,0,3,3,0.5,60,1,0,0,0.6667,0,0,17.6667,580,3,0.0207,NotFaulty
5,1,0,1,6,8,0,1,3,0.75,20,1,0,0,0.5,0,0,2.8,349,1,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,7,0,0,0,0.75,0,0,0,873,1,0,NotFaulty
3,1,0,1,7,1,0,1,3,0.5,19,1,0,0,0.8333,0,0,5,583,1,0,NotFaulty
6,1,0,4,11,13,0,4,4,0.8,42,1,1,0,0.6,0,0,5.8333,293,3,0,NotFaulty
11,1,0,0,15,17,0,0,11,0.725,95,1,0,0,0.7273,0,0,7.2727,161,2,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
8,1,0,3,30,16,0,3,2,0.5,332,1,0,0,0.381,0,0,40.25,224,7,0,NotFaulty
5,1,0,6,20,2,0,6,5,0.625,89,1,0,0,0.5333,0,0,16.4,360,3,0,NotFaulty
3,1,0,5,13,0,0,5,2,0,48,1,0,0,0.5556,0,0,14.6667,602,4,0,NotFaulty
3,1,0,5,13,0,0,5,2,0,48,1,0,0,0.5556,0,0,14.6667,604,4,0,NotFaulty
11,1,0,4,16,31,0,4,8,0.8,77,0.8333,1,0,0.26,0,0,5.4545,165,1,0.0222,NotFaulty
9,1,0,14,43,36,0,14,9,2,143,0,0,0,0.1818,0,0,14.8889,204,3,0.0012,NotFaulty
9,1,0,1,11,28,0,1,9,0.875,60,1,0,0,0.4815,0,0,5.2222,205,2,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,0.75,0,0,0,926,1,0,NotFaulty
26,2,0,9,73,265,0,9,5,0.835,762,1,0,0.4048,0.274,0,0,28,73,16,0,NotFaulty
2,1,0,5,5,1,0,5,2,2,15,0,0,0,0.625,0,0,6.5,960,1,0,Faulty
4,1,0,3,4,6,0,3,4,2,4,0,0,0,0.5,0,0,0,481,1,0,Faulty
11,1,0,3,15,29,0,3,11,0.825,57,1,0,0,0.2727,0,0,3.8182,175,1,0.0682,NotFaulty
23,1,0,12,74,171,0,12,22,0.8283,603,1,0,0,0.1478,0,0,24.8261,86,4,0.1482,NotFaulty
5,1,0,3,21,0,0,3,5,0,73,1,0,0,0.4,0,0,13.4,399,3,0.0832,NotFaulty
3,1,0,0,4,1,0,0,1,0.75,32,0.25,3,0,0.75,0,0,8.3333,667,1,0,NotFaulty
5,1,0,9,46,10,0,9,4,2,489,0,0,0,0.3143,0,0,96.8,403,13,0.0058,NotFaulty
2,1,0,1,2,1,0,1,2,2,4,0,0,0,0.6667,0,0,0,1010,1,0,NotFaulty
22,1,0,9,72,121,0,9,22,0.8776,465,1,0,0,0.1667,0,0,19.8182,93,9,0.1447,NotFaulty
11,1,0,23,111,55,0,23,9,0.8,983,0,0,0,0.2841,0,0,88.2727,191,25,0.0269,NotFaulty
21,1,0,7,48,132,0,7,10,0.5875,295,0.75,0,0,0.1732,0,0,12.8571,101,4,0.0035,Faulty
9,1,0,1,11,26,0,1,9,0.85,60,1,0,0,0.3611,0,0,5.1111,238,1,0.0001,NotFaulty
14,1,0,1,19,79,0,1,7,0.8077,97,1,0,0,0.2857,0,0,5.5,154,2,0.0006,NotFaulty
10,1,0,3,10,45,0,3,10,2,10,0,0,0,0.3667,0,0,0,217,1,0,NotFaulty
6,1,0,3,13,0,0,3,6,0.4,55,1,0,0,0.4583,0,0,7.8333,363,2,0.0032,NotFaulty
7,1,0,0,7,21,0,0,7,2,7,0,0,0,0.5714,0,0,0,312,1,0,NotFaulty
2,1,0,3,9,1,0,3,2,2,43,0,0,0,0.5,1,1,20.5,1097,7,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,2195,1,0,NotFaulty
11,1,0,2,19,1,0,2,11,0.45,67,1,0,0,0.3182,0,0,4.9091,200,1,0.0002,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
5,1,0,3,9,0,0,3,3,0.375,37,1,0,0,0.4,0,0,6,442,1,0,NotFaulty
10,1,0,2,16,23,0,2,9,0.5,88,1,0,0,0.4333,0,0,7.2,222,2,0.0005,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,556,1,0.0004,NotFaulty
7,1,0,1,8,15,0,1,7,0.875,38,1,0,0,0.3929,0,0,3.8571,319,1,0,NotFaulty
16,1,0,6,68,118,0,6,8,0.6667,1102,0,0,0,0.3203,0,0,67.8125,144,12,0.0006,NotFaulty
2,1,0,6,8,0,0,6,1,0,21,1,0,0,0.6667,0,0,9,1159,1,0,NotFaulty
7,1,0,4,14,15,0,4,7,0.7778,107,1,0,0,0.619,0,0,13.4286,333,4,0,NotFaulty
11,1,0,8,23,27,0,8,7,0.8167,132,1,0,0,0.2078,0,0,10.4545,213,3,0,NotFaulty
12,1,0,3,21,0,0,3,11,0.303,222,1,0,0,0.3167,0,0,17,198,2,0.0013,NotFaulty
11,1,0,4,24,17,0,4,10,0.54,107,1,0,0,0.3939,0,0,8.2727,218,2,0.0001,NotFaulty
2,1,0,11,17,1,0,11,1,2,76,0,0,0,0.5,0,0,37,1202,5,0.0001,NotFaulty
2,2,0,2,4,1,0,2,0,1,14,1,0,0.9231,0.75,1,1,5.5,1203,1,0,NotFaulty
6,1,0,2,7,3,0,2,0,0.4,36,1,0,0,0.3,0,0,4.6667,402,1,0,NotFaulty
16,1,0,9,51,70,0,9,11,0.5,205,1,0,0,0.2813,0,0,11.6875,152,5,0.001,NotFaulty
14,1,0,9,34,65,0,9,13,0.3558,207,1,0,0,0.4048,0,0,13.2143,175,5,0.0007,NotFaulty
2,1,0,1,22,0,0,1,1,0,193,1,0,0,0.5833,0,0,93,1235,12,0,NotFaulty
2,1,0,4,6,0,0,4,1,0,17,1,0,0,0.6667,0,0,7,1236,1,0,NotFaulty
40,1,0,25,80,726,0,25,30,0.8291,508,1,0,0,0.1078,0,0,11.475,63,6,0.0326,NotFaulty
4,1,0,2,8,4,0,2,4,0.6667,24,1,0,0,0.5,0,0,4.75,634,1,0.0002,NotFaulty
2,1,0,8,6,0,0,8,1,0,44,1,0,0,0.5833,0,0,19.5,1270,2,0,NotFaulty
2,1,0,11,7,0,0,11,1,0,36,1,0,0,0.6,0,0,16,1271,1,0,NotFaulty
9,1,0,5,17,0,0,5,8,0.5625,50,1,0,0,0.4074,0,0,4.3333,283,1,0,NotFaulty
3,1,0,3,8,0,0,3,3,0,20,1,0,0,0.6667,0,0,5.3333,851,1,0,NotFaulty
5,1,0,1,22,8,0,1,5,0.5,97,1,0,0,0.4,0,0,18.2,513,6,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,856,1,0,NotFaulty
2,2,0,3,7,0,0,3,1,0,34,1,0,0.9444,0.6,1,1,15,1286,3,0,NotFaulty
