WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
3,1,0,0,8,3,0,0,1,1,27,0,0,0,0.3333,0,0,7.6667,1,2,0,NotFaulty
3,1,0,1,4,3,0,1,3,2,8,0,0,0,0.6667,0,0,1.6667,2,1,0.0168,NotFaulty
27,1,0,0,43,13,0,0,13,0.601,1174,1,0,0,0.2531,0,0,42.1852,6,26,0.0018,NotFaulty
9,1,0,0,16,0,0,0,9,0.6,152,0.2,0,0,0.5185,1,1,15.3333,19,3,0.019,Faulty
3,1,0,1,4,3,0,1,3,2,7,0,0,0,1,0,0,1.3333,59,1,0.0167,Faulty
4,1,0,0,18,6,0,0,3,2,102,0,0,0,0.25,0,0,24.5,47,5,0,NotFaulty
10,1,0,0,10,45,0,0,10,2,10,0,0,0,0.6,0,0,0,20,1,0,Faulty
14,1,0,1,25,3,0,1,13,0.6026,237,0,0,0,0.4048,0,0,15.5,15,5,0.0002,NotFaulty
5,4,0,1,18,0,0,1,4,0.55,380,0.4,0,0.9167,0.4,1,1,74,49,14,0.0002,Faulty
1,1,0,0,1,0,0,0,0,2,87,0,0,0,0,0,0,68,247,1,0,NotFaulty
22,1,0,4,38,153,0,4,7,0.8485,3709,0.1212,0,0,0.381,0,0,166.0909,25,236,0.0012,Faulty
3,1,0,0,4,3,0,0,3,1.4375,23,0,2,0,0.5,0,0,4,185,2,0,NotFaulty
8,1,0,0,25,22,0,0,6,0.4286,126,1,0,0,0.1786,0,0,14.625,73,5,0,NotFaulty
4,1,0,0,5,4,0,0,1,0.9167,60,0.125,7,0,0.6667,0,0,12,148,1,0,NotFaulty
8,1,0,1,29,16,0,1,6,0.1429,330,1,0,0,0.3143,0,0,40.125,77,8,0,NotFaulty
14,1,0,1,35,0,0,1,14,0.5,341,0.5,0,0,0.4286,0,0,23.2143,47,5,0.0404,Faulty
23,1,0,3,34,93,0,3,22,0.7045,726,1,0,0,0.1981,0,0,30.0435,31,17,0.0439,Faulty
4,1,0,0,18,0,0,0,3,1.1667,130,0.5,0,0,0.3333,0,0,30,185,6,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Faulty
2,1,0,1,3,1,0,1,0,2,10,0,0,0,0.75,0,0,3,372,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Faulty
2,1,0,1,3,1,0,1,0,2,11,0,0,0,0.75,0,0,3,373,1,0,NotFaulty
6,1,0,5,39,0,0,5,5,0.6,337,1,0,0,0.3333,0,0,54.3333,128,9,0.0156,Faulty
10,1,0,18,87,0,0,18,0,0.7009,990,1,0,0,0.2545,0,0,96.7,83,22,0.0417,Faulty
1,1,0,0,2,0,0,0,0,2,32,0,0,0,1,0,0,24,833,1,0,Faulty
19,1,0,6,51,145,0,6,15,0.9206,437,0.2857,0,0,0.2573,0,0,21.6316,46,7,0.068,Faulty
5,1,0,9,36,2,0,9,0,0.625,319,1,0,0,0.3333,0,0,62,179,15,0.0044,Faulty
4,1,0,5,38,0,0,5,0,0.8889,224,0.5,0,0,0.375,0,0,53.5,227,11,0.0423,Faulty
9,1,0,3,18,0,0,3,9,0,53,1,0,0,0.2593,0,0,4.7778,102,1,0,NotFaulty
2,1,0,1,9,1,0,1,2,2,48,0,0,0,0.6667,0,0,23,463,6,0,NotFaulty
2,1,0,0,3,1,0,0,0,1.4,112,0,0,0,1,0,0,52.5,464,1,0,Faulty
26,1,0,7,55,0,0,7,22,0.344,707,1,0,0,0.1846,0,0,25.8077,37,3,0.0344,Faulty
4,1,0,0,5,4,0,0,1,0.9333,72,0.1,9,0,0.6667,0,0,14.5,243,1,0,NotFaulty
57,1,0,16,108,1504,0,16,43,0.8673,724,1,0,0,0.1153,0,0,11.5789,18,13,0.0594,Faulty
48,1,0,20,119,742,0,20,32,0.8911,1211,0.64,0,0,0.1153,0,0,23.7083,24,9,0.0557,Faulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Faulty
8,1,0,1,11,0,0,1,0,0.3571,107,1,0,0,0.4167,0,0,11.875,146,2,0,NotFaulty
10,1,0,7,33,25,0,7,10,0.7222,178,1,0,0,0.2286,0,0,16.4,119,6,0.0002,Faulty
11,1,0,4,20,15,0,4,9,0.5143,231,1,0,0,0.2468,0,0,19.3636,110,5,0.0007,NotFaulty
