WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
2,2,0,3,9,0,0,3,1,0,64,0,0,0.9846,0.6667,0,0,30.5,3,5,0,Faulty
2,2,0,6,15,0,0,6,1,0,122,0,0,0.9846,0.6667,1,1,59.5,7,8,0,Faulty
6,1,0,2,13,3,0,2,6,0,61,1,0,0,0.4583,0,0,8.8333,3,2,0,NotFaulty
16,2,0,2,23,108,0,2,16,0.3556,177,1,0,0.2857,0.3594,1,2,9.875,2,2,0,NotFaulty
16,2,0,2,23,108,0,2,16,0.3556,177,1,0,0.2857,0.4792,1,2,9.875,4,2,0,NotFaulty
6,1,0,2,10,3,0,2,6,0,56,1,0,0,0.4583,0,0,8,12,2,0,NotFaulty
6,1,0,2,11,3,0,2,6,0,69,1,0,0,0.4,0,0,10,13,2,0,NotFaulty
11,1,0,8,29,55,0,8,10,2,257,0,0,0,0.3068,0,0,22.3636,9,3,0.01,NotFaulty
4,1,0,2,8,0,0,2,3,0.5,29,0,0,0,0.5,0,0,5.75,26,1,0,NotFaulty
2,1,0,3,7,0,0,3,1,0,32,0,0,0,0.6667,0,0,14,54,1,0,NotFaulty
2,1,0,2,5,0,0,2,1,0,27,0,0,0,0.6667,0,0,12,57,5,0,NotFaulty
2,1,0,2,6,0,0,2,1,0,32,0,0,0,0.625,0,0,14,58,2,0,NotFaulty
2,1,0,4,8,0,0,4,1,0,76,0,0,0,0.625,0,0,36,61,5,0,NotFaulty
2,1,0,1,3,1,0,1,1,2,7,0,0,0,0.75,0,0,2.5,62,1,0,NotFaulty
3,1,0,2,11,0,0,2,1,0.25,100,0,0,0,0.5333,0,0,31.6667,45,5,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,136,1,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,69,1,0,NotFaulty
7,1,0,12,31,21,0,12,6,2,122,0,0,0,0.2857,0,0,16.4286,21,3,0,NotFaulty
6,1,0,4,15,15,0,4,5,1,131,0,3,0,0.4667,0,0,20.3333,27,7,0,NotFaulty
5,1,0,8,21,4,0,8,4,0,400,0,0,0,0.4,0,0,78.8,43,25,0,Faulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,1,0,0,0,36,1,0,NotFaulty
4,1,0,5,11,0,0,5,2,0.5,195,0,0,0,0.625,0,0,46.75,58,6,0,Faulty
1,1,0,2,2,0,0,2,0,2,12,0,0,0,1,0,0,3,236,1,0,NotFaulty
5,1,0,3,17,4,0,3,4,0,123,1,0,0,0.4,0,0,23.4,48,2,0,NotFaulty
8,1,0,1,14,6,0,1,7,0.5714,66,0,0,0,0.4167,0,0,7,31,1,0,NotFaulty
10,3,0,2,26,3,0,2,9,0.3333,136,1,0,0.6786,0.375,2,11,12.5,27,5,0,NotFaulty
31,3,0,2,58,45,0,2,30,0.35,271,1,0,0.3878,0.3484,2,12,7.6774,10,5,0,NotFaulty
8,1,0,1,14,8,0,1,7,0.6667,69,0,0,0,0.4167,0,0,7.25,40,1,0,NotFaulty
4,1,0,1,11,0,0,1,3,0.3333,66,0,0,0,0.625,0,0,14.75,81,2,0,NotFaulty
62,2,0,6,82,1471,0,6,54,0.4328,860,1,0,0.2278,0.4637,2,8,12.7903,7,13,0,Faulty
