WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
17,1,0,6,54,62,0,6,13,0.7375,4369,1,0,0,0.2232,0,0,255.7059,2,8,0.0002,NotFaulty
102,1,0,4,160,3699,0,4,101,0.7599,1350,1,0,0,0.1165,1,1,12.1961,1,8,0.0228,NotFaulty
5,1,0,2,9,8,0,2,3,0,40,1,0,0,0.45,0,0,6.8,38,2,0.0002,NotFaulty
130,1,0,2,130,8385,0,2,130,2,130,0,0,0,0.1186,1,1,0,2,1,0,NotFaulty
6,1,0,1,6,15,0,1,6,2,6,0,0,0,0.5,0,0,0,54,1,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,13,0,0,0,0.6667,0,0,5.5,166,2,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,19,0,0,0,0.6667,0,0,8.5,168,3,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,13,0,0,0,0.6667,0,0,5.5,169,2,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,14,0,0,0,0.6667,0,0,6,171,2,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,14,0,0,0,0.6667,0,0,6,172,2,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,14,0,0,0,0.6667,0,0,6,174,2,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,14,0,0,0,0.6667,0,0,6,175,2,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,19,0,0,0,0.6667,0,0,8.5,177,3,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,19,0,0,0,0.6667,0,0,8.5,179,3,0,NotFaulty
2,1,0,2,4,1,0,2,1,2,19,0,0,0,0.6667,0,0,8.5,181,3,0,NotFaulty
2,1,0,11,12,1,0,11,1,1,53,0,10,0,1,0,0,20.5,182,1,0,NotFaulty
26,2,0,1,54,167,0,1,25,0.68,312,1,0,0.2727,0.2923,1,2,10.8462,15,4,0.0026,NotFaulty
17,2,0,1,32,62,0,1,17,0.6458,155,1,0,0.2381,0.2157,1,1,7.9412,25,2,0.0023,NotFaulty
62,1,0,13,149,1179,0,13,52,0.6844,1650,0.25,0,0,0.091,0,0,25.5484,9,11,0.0007,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,620,1,0,NotFaulty
2,1,0,4,6,1,0,4,1,2,12,0,0,0,0.75,0,0,5,311,1,0,NotFaulty
32,1,0,12,70,424,0,12,23,0.9194,477,0.8333,0,0,0.1645,1,1,13.5313,20,8,0.0026,NotFaulty
2,1,0,6,6,1,0,6,1,2,17,0,0,0,0.625,0,0,7.5,337,2,0.0002,NotFaulty
6,1,0,1,21,0,0,1,4,0.8545,312,0.7273,0,0,0.7,0,0,49.1667,116,6,0,NotFaulty
3,1,0,3,10,1,0,3,3,0,78,1,0,0,0.6667,0,0,24,234,4,0,NotFaulty
23,1,0,4,23,253,0,4,23,1.0455,27,0,0,0,0.2609,0,0,0,31,1,0,NotFaulty
8,1,0,2,8,28,0,2,8,2,8,0,0,0,0.25,0,0,0,91,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,735,1,0,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,368,1,0,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,185,1,0,NotFaulty
2,1,0,3,2,1,0,3,2,2,2,0,0,0,0.75,0,0,0,371,1,0,NotFaulty
17,1,0,2,17,136,0,2,17,2,17,0,0,0,0.3176,0,0,0,44,1,0,NotFaulty
2,1,0,3,5,1,0,3,1,2,10,0,0,0,0.75,0,0,4,381,1,0,NotFaulty
2,1,0,3,6,1,0,3,1,2,13,0,0,0,0.75,0,0,5.5,382,2,0,NotFaulty
2,1,0,3,4,1,0,3,1,1,13,0,2,0,1,0,0,4.5,383,1,0,NotFaulty
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,768,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
10,1,0,4,10,45,0,4,10,2,10,0,0,0,0.4333,0,0,0,77,1,0,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,195,1,0.0003,NotFaulty
6,1,0,2,13,0,0,2,5,0.2,98,1,0,0,0.7222,0,0,15.1667,132,5,0.0009,NotFaulty
26,1,0,5,26,325,0,5,26,2,26,0,0,0,0.2912,0,0,0,31,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,3,0,0,0,1,0,0,0,824,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,825,1,0,NotFaulty
2,1,0,3,4,0,0,3,1,0,13,0,0,0,0.75,0,0,5,413,1,0,NotFaulty
50,1,0,22,88,1225,0,22,46,2,641,0,0,0,0.1417,0,0,11.82,17,4,0.0002,NotFaulty
2,1,0,3,2,1,0,3,2,2,2,0,0,0,0.875,0,0,0,445,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.9333,67,0.2,5,0.8667,0.4444,1,1,14.5,223,1,0.0189,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,448,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,898,1,0,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,450,1,0,NotFaulty
17,1,0,5,28,132,0,5,15,0.9375,102,1,0,0,0.2813,0,0,4.8824,54,2,0,NotFaulty
9,1,0,5,25,24,0,5,9,0.625,110,1,0,0,0.2381,0,0,11,104,4,0.0011,NotFaulty
26,1,0,7,61,171,0,7,20,0.8233,793,1,0,0,0.205,0,0,29.0385,39,14,0,NotFaulty
11,1,0,9,27,33,0,9,10,0.8625,154,0.625,2,0,0.2338,0,0,12.2727,93,5,0,NotFaulty
3,1,0,6,9,3,0,6,2,2,19,0,0,0,0.6667,0,0,5.3333,345,1,0,NotFaulty
45,1,0,16,92,620,0,16,28,0.7045,1261,0.7143,0,0,0.2114,0,0,26.8667,25,9,0.0038,NotFaulty
5,1,0,4,16,6,0,4,5,0.375,75,1,0,0,0.6,0,0,13.6,230,3,0.0007,NotFaulty
5,1,0,5,14,2,0,5,5,0.375,56,1,0,0,0.4667,0,0,9.8,231,3,0.0005,NotFaulty
6,1,0,3,16,0,0,3,5,0.65,92,1,0,0,0.45,0,0,13.6667,194,4,0,NotFaulty
9,1,0,4,19,28,0,4,9,0.6875,91,1,0,0,0.2381,0,0,8.8889,131,3,0.0012,NotFaulty
