WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.8333,0,0,0,1,1,0,NotFaulty
3,1,0,3,3,3,0,3,3,2,3,0,0,0,0.7778,0,0,0,1,1,0,NotFaulty
3,1,0,5,3,3,0,5,3,2,3,0,0,0,0.5556,0,0,0,2,1,0,NotFaulty
10,1,0,0,10,45,0,0,10,2,10,0,0,0,1,0,0,0,1,1,0,NotFaulty
5,4,0,1,9,10,0,1,5,1.25,29,1,0,0.9167,0.45,0,0,4.6,4,1,0,NotFaulty
4,1,0,5,9,6,0,5,4,2,31,0,0,0,0.25,0,0,6.75,6,1,0,NotFaulty
5,1,0,7,5,10,0,7,5,2,5,0,0,0,0.6,0,0,0,6,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,11,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,12,1,0,NotFaulty
4,1,0,3,4,6,0,3,4,2,4,0,0,0,0.625,0,0,0,10,1,0,NotFaulty
21,1,0,7,21,210,0,7,21,2,21,0,0,0,0.1508,0,0,0,3,1,0,NotFaulty
11,1,0,3,11,55,0,3,11,2,11,0,0,0,0.5909,0,0,0,6,1,0,NotFaulty
22,1,0,10,22,231,0,10,22,2,22,0,0,0,0.3052,0,0,0,4,1,0,NotFaulty
7,1,0,2,7,21,0,2,7,2,7,0,0,0,1,0,0,0,14,1,0,NotFaulty
21,1,0,8,21,210,0,8,21,2,21,0,0,0,0.2095,0,0,0,5,1,0,NotFaulty
6,1,0,2,9,13,0,2,4,1,40,0.5,1,0,0.3333,0,0,5.3333,22,3,0.0036,NotFaulty
15,1,0,4,15,105,0,4,15,2,15,0,0,0,0.2333,0,0,0,9,1,0,NotFaulty
5,1,0,2,5,10,0,2,5,2,5,0,0,0,0.7,0,0,0,30,1,0,NotFaulty
6,1,0,0,12,0,0,0,5,0.5333,125,0.6667,0,0,0.4667,1,1,19.3333,28,10,0.0429,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,0.6667,0,0,0,87,1,0,NotFaulty
2,1,0,3,5,1,0,3,1,1,10,0,0,0,1,0,0,3.5,88,1,0,NotFaulty
7,1,0,2,7,21,0,2,7,2,7,0,0,0,1,0,0,0,26,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,184,1,0,NotFaulty
0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,0.8889,0,0,0,62,1,0,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,0.8333,0,0,0,63,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,191,1,0,NotFaulty
3,3,0,0,5,3,0,0,3,1.5,18,1,0,1,0.7778,0,0,4.6667,64,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,98,1,0,NotFaulty
5,1,0,5,5,10,0,5,5,1.25,8,0,0,0,0.6,0,0,0,40,1,0,NotFaulty
4,1,0,1,6,6,0,1,3,2,15,0,0,0,1,0,0,2.75,51,1,0,NotFaulty
4,1,0,2,5,6,0,2,3,1,10,0,1,0,1,0,0,1.25,52,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,210,1,0,NotFaulty
12,1,0,29,67,42,0,29,10,0.6591,402,1,0,0,0.2893,0,0,31.8333,19,8,0.0091,NotFaulty
19,1,0,40,109,101,0,40,8,0.9534,678,0.5484,0,0,0.1616,0,0,33.0526,14,6,0.0018,NotFaulty
6,1,0,13,18,0,0,13,5,0.28,160,0,0,0,0.4444,0,0,24.8333,46,3,0,NotFaulty
22,1,0,24,73,129,0,24,16,0.7429,512,0.8,0,0,0.1832,0,0,22.0455,14,9,0.0047,NotFaulty
13,1,0,26,82,28,0,26,10,0.8235,540,0.8235,0,0,0.2639,0,0,39.2308,27,7,0.0064,NotFaulty
10,1,0,9,26,17,0,9,6,0.6667,141,0.8,0,0,0.3889,0,0,12.6,37,5,0.0021,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
3,1,0,2,5,3,0,2,1,2,13,0,0,0,0.6667,0,0,3.3333,126,1,0,NotFaulty
3,1,0,1,7,1,0,1,1,0,23,1,0,0,0.5556,0,0,6.3333,127,1,0,NotFaulty
3,1,0,5,18,1,0,5,2,0.625,83,1,0,0,0.5,0,0,25.3333,129,4,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,98,1,0,NotFaulty
19,1,0,32,91,125,0,32,11,0.7284,777,0.8889,0,0,0.2037,0,0,39.4211,24,11,0.0091,NotFaulty
12,1,0,29,53,32,0,29,8,0.8466,419,0.8125,0,0,0.2597,0,0,32.5833,39,4,0.0014,NotFaulty
3,1,0,3,5,1,0,3,2,0.5,16,1,0,0,0.5,0,0,4,160,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,121,1,0,NotFaulty
15,1,0,36,93,57,0,36,12,0.5918,835,1,0,0,0.2095,0,0,54.2,35,11,0.0217,NotFaulty
14,1,0,31,77,35,0,31,10,0.8966,661,0.5172,0,0,0.2308,0,0,44.1429,40,7,0.006,NotFaulty
5,1,0,3,10,0,0,3,5,0.5,51,1,0,0,0.4,0,0,8.6,115,1,0.0145,NotFaulty
11,1,0,19,58,29,0,19,8,0.7,459,1,0,0,0.38,0,0,40.3636,54,11,0.0026,NotFaulty
3,1,0,0,7,0,0,0,3,0,102,1,0,0,0.5,1,1,32,205,9,0,NotFaulty
4,1,0,4,18,2,0,4,3,0.9167,105,0.5,0,0,0.5556,0,0,24.25,155,3,0.0024,NotFaulty
14,1,0,28,87,45,0,28,10,0.5692,852,1,0,0,0.2426,0,0,59.5,48,13,0.0066,NotFaulty
10,1,0,33,75,27,0,33,8,0.8519,453,0.6,0,0,0.254,0,0,42.8,70,6,0.0014,NotFaulty
7,1,0,1,17,0,0,1,6,0.625,140,0.75,0,0,0.4444,1,1,18.4286,103,6,0.0051,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
7,1,0,2,16,0,0,2,3,0.5556,96,1,0,0,0.3095,1,1,12.2857,105,7,0,NotFaulty
5,1,0,7,28,0,0,7,4,0.3125,327,0.75,0,0,0.5,0,0,63.6,152,13,0.004,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,765,1,0,NotFaulty
6,2,0,5,16,5,0,5,4,0.75,83,0.75,2,0.7647,0.4667,1,1,12.1667,128,3,0.0019,NotFaulty
14,1,0,3,38,19,0,3,13,0.8352,257,0.8571,0,0,0.2436,1,1,16.8571,57,7,0.0112,NotFaulty
11,1,0,14,88,9,0,14,8,0.6833,728,0.8333,0,0,0.325,0,0,64.6364,78,21,0.0116,NotFaulty
12,1,0,1,38,64,0,1,11,1.0303,333,0,0,0,0.1688,0,0,26.5,75,19,0,NotFaulty
3,1,0,6,21,1,0,6,2,0.5,116,1,0,0,0.5,0,0,37.3333,304,4,0,NotFaulty
3,1,0,1,4,3,0,1,2,2,10,0,0,0,0.6667,0,0,2.3333,305,1,0,NotFaulty
3,1,0,1,4,3,0,1,2,1,9,0,1,0,0.75,0,0,1.6667,306,1,0,NotFaulty
4,1,0,0,7,0,0,0,3,0.6667,46,0.6667,0,0,0.6667,0,0,9.75,232,5,0.0029,NotFaulty
5,1,0,5,5,10,0,5,5,2,5,0,0,0,0.6,0,0,0,186,1,0,NotFaulty
8,1,0,17,36,0,0,17,8,0.7143,141,0.75,0,0,0.2708,0,0,16.125,118,3,0,NotFaulty
7,1,0,2,7,21,0,2,7,2,7,0,0,0,0.6429,0,0,0,136,1,0,NotFaulty
21,1,0,8,57,134,0,8,12,0.84,407,0.4,0,0,0.3469,0,0,18.1429,47,5,0.0086,NotFaulty
4,1,0,2,10,0,0,2,4,0.1667,51,1,0,0,0.5,0,0,11.25,249,2,0,NotFaulty
5,1,0,11,44,0,0,11,3,0.725,356,0.9,0,0,0.3571,0,0,68.2,203,11,0.0035,NotFaulty
3,1,0,4,3,3,0,4,3,2,3,0,0,0,0.7333,0,0,0,339,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
5,1,0,3,7,4,0,3,3,0.4167,40,0.6667,0,0,0.55,0,0,6.4,204,1,0,NotFaulty
4,1,0,3,12,0,0,3,4,0.1667,78,0.75,0,0,0.625,0,0,17.5,258,3,0,NotFaulty
8,1,0,3,14,8,0,3,8,0.4286,50,1,0,0,0.475,0,0,5.125,130,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,347,1,0,NotFaulty
1,1,0,4,1,0,0,4,1,2,1,0,0,0,1,0,0,0,1044,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
7,1,0,4,13,5,0,4,4,0.2222,95,0,0,0,0.4286,0,0,12.1429,151,6,0,NotFaulty
9,1,0,3,16,22,0,3,9,0.875,141,1,0,0,0.2963,0,0,13.8889,119,8,0,NotFaulty
4,1,0,2,18,2,0,2,4,0.6667,95,1,0,0,0.5,0,0,22.25,271,2,0,NotFaulty
3,1,0,0,6,1,0,0,2,0.5,39,1,0,0,0.5,0,0,11.3333,363,2,0,NotFaulty
2,1,0,5,10,0,0,5,2,0,50,0.6667,0,0,0.625,0,0,22.5,546,1,0,NotFaulty
8,1,0,5,20,0,0,5,6,0.4082,174,1,0,0,0.3571,0,0,19.875,138,9,0.0011,NotFaulty
6,1,0,4,9,0,0,4,6,0.4667,58,1,0,0,0.4667,0,0,8.1667,186,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1118,1,0,NotFaulty
6,1,0,0,9,0,0,0,6,0.4,88,1,0,0,0.4444,0,0,13.3333,188,6,0.0364,NotFaulty
5,1,0,1,5,10,0,1,5,2,5,0,0,0,0.7333,0,0,0,227,1,0,NotFaulty
10,1,0,6,11,45,0,6,9,1,14,0,0,0,0.3519,0,0,0.3,114,1,0,NotFaulty
2,1,0,3,2,1,0,3,2,2,2,0,0,0,0.625,0,0,0,575,1,0,NotFaulty
2,1,0,2,4,0,0,2,1,0,15,0,0,0,0.75,0,0,6,576,1,0,NotFaulty
2,1,0,4,4,0,0,4,1,0,22,0,0,0,0.6667,0,0,9,577,1,0,NotFaulty
2,1,0,4,4,0,0,4,1,0,22,0,0,0,0.6667,0,0,9,578,1,0,NotFaulty
8,1,0,3,11,12,0,3,4,0.4286,127,0.8,0,0,0.375,0,0,14.25,146,4,0,NotFaulty
13,1,0,13,30,42,0,13,10,0.7917,253,0.75,0,0,0.2396,0,0,18.1538,92,11,0.0026,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,1204,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,302,1,0,NotFaulty
7,1,0,11,19,13,0,11,2,0.9074,102,0.7778,2,0,0.3056,0,0,12.2857,174,4,0.0012,NotFaulty
12,1,0,9,17,42,0,9,10,0.7273,55,1,0,0,0.2857,0,0,3.4167,102,1,0.0004,NotFaulty
9,2,0,8,15,30,0,8,4,0.925,71,0.6,3,0.6842,0.2321,1,1,6.3333,137,1,0.0007,NotFaulty
