WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
9,1,0,1,15,36,0,1,9,2,69,0,0,0,0.1111,0,0,6.6667,1,2,0,NotFaulty
2,1,0,1,13,0,0,1,1,0,103,0.3333,0,0,0.75,0,0,49,8,6,0,NotFaulty
29,5,0,2,73,300,0,2,21,0.8793,782,0.8571,0,0.9488,0.3448,1,3,25.2414,2,10,0.0005,NotFaulty
6,1,0,3,6,15,0,3,6,2,6,0,0,0,0.5,0,0,0,11,1,0,Faulty
8,1,0,4,17,26,0,4,5,0.9429,91,0.8,0,0,0.3393,0,0,9.75,10,3,0.0106,Faulty
9,1,0,2,29,12,0,2,8,0.625,453,1,0,0,0.4167,0,0,49,11,7,0.0134,NotFaulty
3,1,0,1,12,0,0,1,3,0.5,133,0,0,0,0.5556,0,0,42,37,5,0.0005,NotFaulty
6,1,0,6,21,0,0,6,6,0.5,147,0.5,0,0,0.381,0,0,23.1667,21,3,0.0005,Faulty
1,1,0,0,2,0,0,0,0,2,12,0,0,0,1,0,0,9,128,1,0,NotFaulty
13,1,0,9,70,66,0,9,6,0.9529,1997,0.0435,0,0,0.2667,0,0,150.8462,21,47,0,Faulty
7,1,0,19,49,5,0,19,7,0.7333,323,1,0,0,0.3929,0,0,44.4286,43,20,0.0033,NotFaulty
3,1,0,6,6,3,0,6,3,2,41,0,0,0,0.4444,0,0,12.6667,103,6,0,NotFaulty
43,1,0,4,74,903,0,4,36,1.0238,1326,0,0,0,0.1686,0,0,29.6512,9,6,0,Faulty
5,1,0,2,18,10,0,2,5,2,198,0,0,0,0.6,0,0,38.6,83,4,0,Faulty
7,1,0,4,19,21,0,4,7,2,158,0,0,0,0.381,0,0,21.5714,62,6,0,NotFaulty
12,1,0,13,62,66,0,13,9,0.9091,473,0,0,0,0.25,0,0,38.25,39,5,0.0009,Faulty
9,1,0,3,20,36,0,3,9,2,204,0,0,0,0.3333,0,0,21.6667,54,4,0,NotFaulty
3,1,0,11,46,3,0,11,3,2,257,0,0,0,0.4667,0,0,84.6667,168,10,0.0013,NotFaulty
7,1,0,11,45,1,0,11,4,0.75,499,0.5,0,0,0.5714,0,0,69.7143,78,10,0.007,NotFaulty
14,1,0,0,14,91,0,0,14,2,14,0,0,0,0.2738,0,0,0,40,1,0,NotFaulty
6,1,0,2,16,0,0,2,5,0.3,69,0,0,0,0.6,0,0,10.1667,95,3,0.0003,NotFaulty
19,1,0,3,44,57,0,3,16,0.7698,377,1,0,0,0.218,0,0,18.4737,32,7,0.0013,Faulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,614,1,0,NotFaulty
1,1,0,1,2,0,0,1,1,2,13,0.5,0,0,1,0,0,10,615,1,0,NotFaulty
7,1,0,1,19,0,0,1,6,0.25,432,1,0,0,0.4643,0,0,60.1429,89,3,0.0006,NotFaulty
